uniprot	pfam	start	stop	type
980062	Q12019	PF07728	1363	1429	Domain
985567	P36022	PF12774	1758	2081	Domain
993538	P36022	PF12775	2381	2562	Domain
997721	P36022	PF12780	2730	2987	Domain
1004784	P36022	PF12781	3377	3597	Domain
1015424	P40151	PF16193	324	409	Family
1018478	P36022	PF17857	2594	2690	Domain
1021001	P06701	PF17872	735	833	Domain
1021839	P54784	PF17872	637	738	Domain
1024244	P36022	PF18198	3908	4055	Domain
1043603	P39925	PF17862	489	531	Domain
1047421	P33297	PF17862	373	417	Domain
1048510	P18759	PF17862	444	521	Domain
1053018	P25694	PF17862	679	725	Domain
1053907	P40327	PF17862	374	418	Domain
1057735	P40340	PF17862	608	651	Domain
1058196	P39955	PF17862	813	866	Domain
1059184	P32794	PF17862	439	493	Domain
1059764	P33299	PF17862	402	445	Domain
1060147	P32794	PF17862	706	752	Domain
1061387	P53549	PF17862	373	417	Domain
1066277	P25694	PF17862	403	449	Domain
1069582	Q01939	PF17862	340	384	Domain
1070616	Q07844	PF17862	724	799	Domain
1077340	P32795	PF17862	469	513	Domain
1080274	P40341	PF17862	542	586	Domain
1080822	P24004	PF17862	895	938	Domain
1082055	P33760	PF17862	924	973	Domain
1082407	P40328	PF17862	670	724	Domain
1083239	Q07844	PF17862	399	444	Domain
1083720	P28737	PF17862	280	329	Domain
1094198	Q12019	PF17865	910	1015	Domain
1099164	Q12019	PF17867	1226	1320	Domain
1099585	Q12019	PF17867	1891	1991	Domain
1100023	Q12019	PF17867	465	580	Domain
1105000	P33416	PF17871	277	384	Domain
1120768	P31539	PF17871	344	452	Domain
1126241	P32357	PF05282	2	332	Family
1127759	Q08965	PF08142	219	307	Domain
1128823	Q07381	PF08142	234	312	Domain
1132244	Q08984	PF07247	53	348	Family
1132301	P40353	PF07247	28	522	Family
1132340	P53296	PF07247	23	529	Family
1133025	P53304	PF07247	4	466	Family
1133648	Q06631	PF13339	172	300	Family
1142438	P38690	PF00696	5	238	Family
1153104	P10869	PF00696	13	310	Family
1154159	P32264	PF00696	10	244	Family
1154169	Q01217	PF00696	98	330	Family
1175564	P32487	PF00324	114	578	Family
1177229	Q12372	PF00324	77	540	Family
1178921	P38971	PF00324	74	540	Family
1179220	P38085	PF00324	98	561	Family
1180537	P25376	PF00324	124	591	Family
1182327	P15380	PF00324	114	588	Family
1183059	P19145	PF00324	94	560	Family
1183340	P41815	PF00324	94	559	Family
1187487	P38967	PF00324	86	545	Family
1188361	P06775	PF00324	94	561	Family
1189604	P36029	PF00324	59	532	Family
1189646	P04817	PF00324	92	556	Family
1190780	P48813	PF00324	153	621	Family
1192983	P53388	PF00324	90	559	Family
1193404	P38090	PF00324	92	565	Family
1193870	Q08986	PF00324	81	544	Family
1194035	P38329	PF00324	68	544	Family
1195102	P43548	PF00324	57	511	Family
1197768	Q03770	PF00324	285	815	Family
1198574	P38084	PF00324	99	566	Family
1215954	P32837	PF13520	74	526	Family
1227082	P50276	PF13520	61	501	Family
1227442	P19807	PF13520	58	502	Family
1230561	P53744	PF13520	45	549	Family
1242395	P38734	PF13520	65	505	Family
1248642	P47082	PF01490	206	601	Family
1249738	P38176	PF01490	1	446	Family
1250054	P39981	PF01490	65	467	Family
1252053	P40074	PF01490	1	439	Family
1257514	P36062	PF01490	295	688	Family
1257663	P50944	PF01490	295	711	Family
1266728	P40501	PF01490	3	477	Family
1274746	P38799	PF12430	308	542	Family
1287961	Q02981	PF03109	221	353	Family
1296778	Q06567	PF03109	166	289	Family
1296935	P27697	PF03109	176	292	Family
1302951	Q02785	PF01061	491	705	Family
1302952	P40550	PF01061	365	575	Family
1303218	P53756	PF01061	373	581	Family
1304181	P32568	PF01061	1170	1382	Family
1308127	Q04182	PF01061	513	725	Family
1314170	P25371	PF01061	775	987	Family
1316784	Q04182	PF01061	1201	1417	Family
1320085	P33302	PF01061	1186	1403	Family
1321876	Q08234	PF01061	1019	1224	Family
1321900	Q08409	PF01061	1062	1273	Family
1323294	P40550	PF01061	1072	1283	Family
1323584	P33302	PF01061	503	715	Family
1325795	P51533	PF01061	523	735	Family
1326228	P32568	PF01061	502	710	Family
1329162	Q08234	PF01061	358	572	Family
1332220	P51533	PF01061	1240	1458	Family
1332234	P53756	PF01061	1045	1257	Family
1340507	Q08409	PF01061	369	579	Family
1347233	Q02785	PF01061	1159	1372	Family
1400449	P53049	PF00664	207	481	Family
1401971	P39109	PF00664	287	578	Family
1410946	P12866	PF00664	717	994	Family
1414765	P33311	PF00664	119	401	Family
1423536	P38735	PF00664	338	620	Family
1423833	P39109	PF00664	951	1223	Family
1424160	P38735	PF00664	981	1269	Family
1445905	P32386	PF00664	461	650	Family
1451972	P14772	PF00664	292	566	Family
1460214	P14772	PF00664	980	1253	Family
1461734	P33310	PF00664	103	386	Family
1462679	P0CE68	PF00664	961	1213	Family
1472967	P53049	PF00664	897	1166	Family
1473782	P40416	PF00664	111	389	Family
1476709	P0CE68	PF00664	431	609	Family
1478214	P32386	PF00664	1026	1332	Family
1501720	P12866	PF00664	27	306	Family
1514323	P34230	PF06472	113	383	Family
1514806	P41909	PF06472	194	467	Family
1538464	P40550	PF00005	766	906	Domain
1539205	P53049	PF00005	1230	1395	Domain
1564662	P43569	PF00005	24	177	Domain
1572329	Q08972	PF00005	829	1061	Domain
1581280	P53978	PF00005	684	925	Domain
1586134	P32386	PF00005	712	863	Domain
1612586	P16521	PF00005	446	572	Domain
1612595	P32568	PF00005	872	1022	Domain
1612765	P39109	PF00005	646	781	Domain
1625620	Q03195	PF00005	368	496	Domain
1631676	P14772	PF00005	1319	1484	Domain
1641314	P25371	PF00005	406	558	Domain
1659530	P53049	PF00005	604	738	Domain
1663333	P51533	PF00005	196	357	Domain
1681601	Q08234	PF00005	710	867	Domain
1703379	P51533	PF00005	942	1093	Domain
1705822	P33311	PF00005	464	614	Domain
1706774	P40024	PF00005	97	255	Domain
1716938	P0CE69	PF00005	50	217	Domain
1738885	Q03195	PF00005	99	250	Domain
1742000	P53756	PF00005	748	898	Domain
1751218	P33302	PF00005	888	1039	Domain
1752222	P32568	PF00005	176	337	Domain
1753632	P12866	PF00005	1070	1218	Domain
1758369	P53978	PF00005	446	572	Domain
1765498	P53756	PF00005	46	208	Domain
1777694	Q12298	PF00005	33	190	Domain
1800842	P40416	PF00005	452	601	Domain
1838406	Q08409	PF00005	49	200	Domain
1851784	P0CE68	PF00005	669	820	Domain
1866425	Q08409	PF00005	766	906	Domain
1866809	P38735	PF00005	1340	1503	Domain
1882913	Q02785	PF00005	861	1012	Domain
1931984	P41909	PF00005	630	777	Domain
1953619	P33310	PF00005	450	602	Domain
1974087	Q02785	PF00005	164	324	Domain
1976926	P16521	PF00005	684	925	Domain
2008060	Q04182	PF00005	186	347	Domain
2016506	P34230	PF00005	488	680	Domain
2032773	Q12298	PF00005	322	486	Domain
2033517	P38735	PF00005	685	836	Domain
2049258	P40024	PF00005	411	544	Domain
2088173	P14772	PF00005	654	798	Domain
2094166	P39109	PF00005	1289	1438	Domain
2118477	Q08972	PF00005	587	716	Domain
2123894	P32386	PF00005	1398	1567	Domain
2157402	Q04182	PF00005	903	1054	Domain
2169397	P43535	PF00005	548	679	Domain
2178960	P43535	PF00005	215	396	Domain
2179994	P33302	PF00005	176	337	Domain
2180079	P12866	PF00005	375	534	Domain
2197618	P40550	PF00005	49	200	Domain
2198118	Q08234	PF00005	45	214	Domain
2209251	P33302	PF14510	45	152	Domain
2210151	Q04182	PF14510	47	162	Domain
2210471	P32568	PF14510	47	153	Domain
2211968	P51533	PF14510	42	162	Domain
2212962	Q02785	PF14510	14	137	Domain
2224995	P40024	PF12848	294	380	Domain
2245316	P43535	PF12848	436	521	Domain
2252436	Q04623	PF00561	127	291	Domain
2255782	P08465	PF00561	66	437	Domain
2258610	P38139	PF00561	87	358	Domain
2262585	P38295	PF00561	166	430	Domain
2270097	Q02891	PF00561	168	435	Domain
2277972	Q12385	PF00561	71	381	Domain
2284783	P53208	PF00561	39	309	Domain
2295407	P34163	PF00561	106	403	Domain
2298336	P53925	PF00561	348	622	Domain
2304371	P38796	PF00561	114	366	Domain
2309631	P53750	PF00561	30	276	Domain
2310719	Q03649	PF00561	151	398	Domain
2311058	P53264	PF00561	141	431	Domain
2314725	P53219	PF00561	75	326	Domain
2332443	Q12354	PF02230	1	225	Domain
2364612	Q04066	PF07859	32	219	Domain
2391819	Q12405	PF12697	55	336	Domain
2448193	Q07950	PF04083	150	212	Family
2450179	Q07804	PF04083	178	241	Family
2491052	Q01574	PF16177	76	137	Family
2497600	P52910	PF16177	40	96	Family
2500580	P38318	PF13000	17	559	Family
2500963	P38317	PF13000	1	101	Family
2503920	P31787	PF00887	3	83	Domain
2512953	P32874	PF08326	837	1524	Family
2513500	Q00955	PF08326	768	1479	Family
2529752	P32316	PF02550	12	230	Domain
2535694	P32316	PF13336	331	482	Domain
2546954	P43577	PF00583	28	148	Family
2557268	P35208	PF00583	126	237	Family
2566192	Q06504	PF00583	17	134	Family
2575008	Q08689	PF00583	18	147	Family
2588093	Q12341	PF00583	135	264	Family
2592369	P07347	PF00583	39	171	Family
2592880	Q12447	PF00583	19	157	Family
2603479	Q02908	PF00583	407	546	Family
2605989	Q04751	PF00583	111	245	Family
2623583	Q03330	PF00583	120	226	Family
2626829	P39979	PF00583	24	149	Family
2649917	Q03503	PF00583	8	135	Family
2651423	Q06592	PF00583	22	144	Family
2687558	P43605	PF13880	207	270	Domain
2730838	P40586	PF13302	34	174	Domain
2781385	P40081	PF12689	3	176	Family
2789421	P19414	PF00330	63	500	Family
2792485	P39533	PF00330	58	505	Family
2796543	P49367	PF00330	25	458	Family
2802746	P07264	PF00330	14	471	Family
2820577	P39533	PF00694	585	714	Domain
2821870	P19414	PF00694	579	709	Domain
2825052	P49367	PF00694	484	620	Domain
2827374	P07264	PF00694	545	672	Domain
2828181	P13711	PF01756	546	725	Family
2833251	P19097	PF01648	1768	1883	Domain
2835710	Q12036	PF01648	14	167	Domain
2844527	P50113	PF01648	132	238	Domain
2938792	P25605	PF01842	78	144	Domain
2945594	P47117	PF00022	3	443	Family
2946166	P60010	PF00022	2	375	Family
2948934	Q05123	PF00022	18	374	Family
2949270	Q04549	PF00022	8	153	Family
2949400	Q12406	PF00022	2	466	Family
2956202	Q12509	PF00022	1	432	Family
2956651	Q12386	PF00022	263	751	Family
2957712	P53946	PF00022	352	746	Family
2960591	P32381	PF00022	1	388	Family
2961083	P53946	PF00022	34	251	Family
2963259	P38696	PF00022	9	382	Family
2963416	P80428	PF00022	11	488	Family
2987770	P10869	PF13840	432	498	Domain
3158227	P13711	PF02770	185	295	Domain
3241749	P13711	PF14749	30	174	Domain
3256264	Q06510	PF01553	48	229	Family
3283926	P36148	PF01553	57	300	Family
3284845	P33333	PF01553	62	191	Family
3284961	P38226	PF01553	74	282	Family
3289233	Q12185	PF01553	84	276	Family
3290922	P32784	PF01553	68	292	Family
3294702	Q12185	PF16076	293	367	Family
3296985	P38226	PF16076	299	375	Family
3297080	P41903	PF02551	200	336	Domain
3297133	P41903	PF02551	20	121	Domain
3323880	P07149	PF00698	1663	2037	Domain
3354566	P38828	PF09793	82	170	Domain
3355082	P32494	PF10198	506	649	Family
3368800	P38065	PF01602	38	649	Family
3369815	P27351	PF01602	9	544	Family
3373717	P36000	PF01602	23	553	Family
3375489	Q12028	PF01602	21	618	Family
3376268	P41810	PF01602	20	560	Family
3376529	P32074	PF01602	19	560	Family
3378007	P46682	PF01602	39	622	Family
3378194	Q08951	PF01602	44	611	Family
3380942	P38153	PF00928	199	483	Family
3381508	Q99186	PF00928	198	491	Family
3381860	P38700	PF00928	258	605	Family
3384826	Q00776	PF00928	164	474	Family
3404124	P06782	PF16579	504	626	Domain
3405718	P80210	PF00709	3	428	Domain
3425278	Q07786	PF08240	30	141	Domain
3431840	P00331	PF08240	31	140	Domain
3462803	P32771	PF08240	36	165	Domain
3464362	P00330	PF08240	31	140	Domain
3471040	P38230	PF08240	35	111	Domain
3472216	P25377	PF08240	33	150	Domain
3475156	P38113	PF08240	34	143	Domain
3476088	Q07993	PF08240	31	142	Domain
3481482	P39945	PF08240	76	141	Domain
3483207	Q04894	PF08240	33	149	Domain
3486438	P35497	PF08240	30	141	Domain
3489929	P35183	PF08240	76	150	Domain
3502367	P07246	PF08240	58	167	Domain
3505499	P39713	PF08240	26	160	Domain
3508549	P39714	PF08240	26	160	Domain
3519588	Q03102	PF16884	5	123	Family
3531809	P40579	PF00106	3	194	Domain
3534803	Q08651	PF00106	83	184	Domain
3541693	P36086	PF00106	8	208	Domain
3549059	Q05016	PF00106	14	213	Domain
3556966	P40471	PF00106	10	202	Domain
3571160	P38286	PF00106	63	268	Domain
3577258	P34251	PF00106	25	143	Domain
3582387	Q07530	PF00106	39	234	Domain
3594567	Q02207	PF00106	10	206	Domain
3600285	P35731	PF00106	106	245	Domain
3601258	P40580	PF00106	3	203	Domain
3607109	Q03085	PF00106	27	237	Domain
3619934	Q02207	PF00106	323	514	Domain
3633834	Q06417	PF00106	71	263	Domain
3648796	P38342	PF00106	59	223	Domain
3650430	P35731	PF00106	5	73	Domain
3666840	Q12452	PF00106	4	245	Domain
3669837	Q08651	PF00106	17	72	Domain
3671445	P53878	PF00106	54	202	Domain
3797383	P32573	PF13561	31	269	Domain
3827370	Q04894	PF00107	190	316	Family
3827856	P38230	PF00107	160	291	Family
3839442	P39713	PF00107	200	333	Family
3840013	P25377	PF00107	191	317	Family
3842174	P39714	PF00107	200	332	Family
3843485	P38071	PF00107	187	327	Family
3846509	Q07786	PF00107	181	316	Family
3847550	P54007	PF00107	186	301	Family
3848064	P07246	PF00107	209	338	Family
3860856	P53912	PF00107	186	325	Family
3861329	P38113	PF00107	185	314	Family
3863641	P35497	PF00107	181	316	Family
3867219	Q07993	PF00107	182	315	Family
3879187	P32771	PF00107	207	349	Family
3883183	P25608	PF00107	178	319	Family
3884824	P00331	PF00107	182	311	Family
3891659	Q03102	PF00107	177	315	Family
3903941	P00330	PF00107	182	311	Family
3919505	P35183	PF13602	273	424	Domain
3922825	P39945	PF13602	273	425	Domain
3926246	P28625	PF13602	211	362	Domain
3936433	P26364	PF00406	19	209	Domain
3941598	P07170	PF00406	11	198	Domain
3946193	P15700	PF00406	21	179	Domain
3952044	P26364	PF05191	145	180	Domain
3954626	P07170	PF05191	134	169	Domain
3966796	P39954	PF05221	7	148	Domain
3967094	P39954	PF05221	143	448	Domain
3977602	P39954	PF00670	194	355	Domain
3982437	Q02648	PF07757	257	370	Family
3994721	Q05911	PF10397	375	457	Domain
3999103	P08678	PF08509	368	419	Domain
4000263	P32493	PF17049	50	449	Family
4004093	P32317	PF03969	34	448	Family
4008610	Q99222	PF07792	29	188	Domain
4015093	P22149	PF08731	108	243	Family
4015096	Q08957	PF08731	51	100	Family
4015149	Q08957	PF08731	91	137	Family
4016319	Q02100	PF11785	6	35	Domain
4017323	P32781	PF17366	27	87	Family
4025719	Q12449	PF09229	13	150	Domain
4026068	P53834	PF09229	13	147	Domain
4032144	P40553	PF00578	65	188	Domain
4039797	P34227	PF00578	51	189	Domain
4042214	Q04120	PF00578	5	138	Domain
4058026	P34760	PF00578	5	138	Domain
4078488	Q12449	PF08327	223	345	Family
4112489	P38009	PF01808	136	460	Family
4117089	P54113	PF01808	136	460	Family
4128760	P40502	PF10315	24	152	Family
4128956	P40563	PF11489	136	539	Family
4133718	P47127	PF01987	49	322	Family
4135150	P38266	PF17096	8	99	Family
4135398	P38341	PF17050	40	103	Family
4136154	P41697	PF03915	365	776	Family
4138601	P21264	PF00731	404	551	Domain
4155457	P07244	PF00586	493	611	Domain
4177595	P38972	PF02769	864	1006	Domain
4179294	P07244	PF02769	624	793	Domain
4200608	P38972	PF02769	471	631	Domain
4214853	P05373	PF00490	18	337	Domain
4241024	P38998	PF05222	7	142	Domain
4258531	P38197	PF01168	26	249	Domain
4258703	P53095	PF01168	31	271	Domain
4274803	P39715	PF09135	31	152	Family
4274807	P47019	PF09135	1	118	Family
4277096	P53218	PF01918	46	119	Family
4300565	P07275	PF00171	70	558	Family
4301719	P38694	PF00171	104	587	Family
4303495	P47771	PF00171	29	498	Family
4317655	P46367	PF00171	53	513	Family
4329578	Q04458	PF00171	24	464	Family
4332513	P40047	PF00171	52	511	Family
4352280	P54115	PF00171	34	496	Family
4364703	P54885	PF00171	2	281	Family
4371078	P54114	PF00171	29	498	Family
4378009	P38067	PF00171	27	488	Family
4396544	P47095	PF00596	18	219	Domain
4406991	P53757	PF01263	11	339	Family
4409460	Q03161	PF01263	8	287	Family
4416001	P38893	PF01263	11	338	Family
4418151	P04397	PF01263	374	697	Family
4428627	Q07551	PF00248	21	288	Domain
4432932	Q07747	PF00248	1	296	Domain
4437144	P25612	PF00248	28	339	Domain
4440747	Q04212	PF00248	16	303	Domain
4447554	P47182	PF00248	1	254	Domain
4453459	P42884	PF00248	31	342	Domain
4462142	P14065	PF00248	22	293	Domain
4463396	P38715	PF00248	15	308	Domain
4478127	P47137	PF00248	16	269	Domain
4479300	Q02895	PF00248	18	336	Domain
4479503	Q08361	PF00248	1	119	Domain
4481951	Q12458	PF00248	22	293	Domain
4483117	Q06494	PF00248	15	333	Domain
4488584	P38115	PF00248	35	314	Domain
4538594	P53954	PF15924	71	274	Family
4540638	P38242	PF08660	57	236	Family
4541617	P38179	PF05208	48	417	Family
4544155	Q12001	PF03155	46	528	Family
4544233	P40351	PF03155	51	565	Family
4552405	P48582	PF13949	473	707	Domain
4552573	Q12033	PF13949	379	648	Domain
4556755	Q08347	PF14864	518	641	Domain
4557768	Q08347	PF14863	374	512	Domain
4562836	P11491	PF00245	66	527	Domain
4567353	P25335	PF03561	31	182	Family
4567405	P25335	PF03561	204	342	Family
4573971	P54783	PF04030	186	516	Family
4582635	P0CW40	PF00128	37	408	Domain
4587992	P40884	PF00128	32	398	Domain
4588745	P53341	PF00128	36	406	Domain
4591653	P32775	PF00128	216	344	Domain
4597943	P38158	PF00128	36	406	Domain
4609942	P0CW41	PF00128	37	408	Domain
4619085	P53051	PF00128	37	409	Domain
4622019	Q08295	PF00128	37	408	Domain
4633813	P32775	PF02806	608	703	Domain
4648064	P22855	PF09261	565	664	Domain
4651216	P38817	PF02883	471	583	Domain
4653142	Q06336	PF02883	443	555	Domain
4654887	Q12028	PF02883	723	829	Domain
4674442	P25605	PF10369	215	281	Family
4698359	Q03557	PF01425	5	457	Family
4700974	P22580	PF01425	79	539	Family
4711021	P32528	PF01425	34	449	Family
4754870	P32375	PF01979	61	439	Domain
4792983	P40896	PF01979	1	331	Domain
4798079	Q07729	PF01979	91	486	Domain
4870385	P53090	PF00155	97	488	Domain
4872500	P25045	PF00155	145	545	Domain
4874321	P38840	PF00155	60	500	Domain
4881339	Q01802	PF00155	44	441	Domain
4885350	P52892	PF00155	68	489	Domain
4889827	P40970	PF00155	155	515	Domain
4892835	P07172	PF00155	27	375	Domain
4903589	P52893	PF00155	185	573	Domain
4919442	P09950	PF00155	113	480	Domain
4938123	P23542	PF00155	30	405	Domain
4944517	P47039	PF00155	54	437	Domain
4958040	P10356	PF00155	38	428	Domain
4973926	P18544	PF00202	25	418	Domain
4988586	P50277	PF00202	27	471	Domain
4997237	P07991	PF00202	18	421	Domain
5007651	P17649	PF00202	37	468	Domain
5016268	P47176	PF01063	74	327	Domain
5017381	Q03266	PF01063	108	369	Domain
5027844	P38891	PF01063	91	344	Domain
5035526	P43567	PF00266	21	366	Domain
5042058	Q05979	PF00266	95	379	Domain
5060895	P25374	PF00266	100	462	Domain
5082384	P33330	PF00266	10	383	Domain
5104053	P50264	PF01593	18	504	Domain
5119048	Q12012	PF01871	28	235	Family
5130710	P40260	PF00909	20	424	Family
5132316	P53390	PF00909	19	423	Family
5133446	P41948	PF00909	33	444	Family
5146749	Q01574	PF00501	138	582	Family
5147244	P39518	PF00501	102	597	Family
5172352	P38137	PF00501	13	440	Family
5201569	P39002	PF00501	78	556	Family
5220068	P52910	PF00501	97	539	Family
5226772	P30624	PF00501	80	561	Family
5231709	P47912	PF00501	77	556	Family
5239319	P38225	PF00501	82	531	Family
5264785	Q12275	PF00501	167	509	Family
5285101	P07702	PF00501	243	705	Family
5326565	P38137	PF13193	448	523	Domain
5376207	Q01574	PF13193	590	675	Domain
5376723	P52910	PF13193	547	637	Domain
5398985	P40543	PF16561	11	99	Family
5400303	P32578	PF16561	498	565	Family
5401589	P34164	PF16561	164	251	Family
5401689	Q04739	PF16561	162	249	Family
5402169	P53885	PF16561	6	93	Family
5402217	P38845	PF16561	7	96	Family
5403296	Q04739	PF04739	343	415	Family
5403713	P34164	PF04739	336	411	Family
5403909	P32578	PF04739	725	803	Family
5407434	P40051	PF05195	70	192	Domain
5410251	P43590	PF05195	78	197	Domain
5411112	P53886	PF12859	86	401	Family
5412675	P53068	PF03256	59	246	Family
5414523	Q12440	PF08672	784	845	Domain
5418210	P09798	PF12895	242	322	Domain
5418252	P38042	PF12895	39	126	Domain
5420001	Q04601	PF12896	215	412	Domain
5433579	Q08683	PF12862	302	392	Family
5434860	P16522	PF04049	12	152	Family
5435726	Q12107	PF12856	58	170	Family
5436091	P14724	PF10471	1	86	Family
5457739	P35845	PF00023	96	128	Repeat
5457801	P40480	PF00023	398	430	Repeat
5458191	Q12013	PF00023	117	149	Repeat
5458944	P25631	PF00023	36	69	Repeat
5460043	Q04749	PF00023	141	172	Repeat
5460112	P50086	PF00023	106	138	Repeat
5460571	P40480	PF00023	593	625	Repeat
5461365	P39010	PF00023	110	139	Repeat
5461906	P09959	PF00023	317	349	Repeat
5462487	P40578	PF00023	752	785	Repeat
5462500	Q12451	PF00023	106	138	Repeat
5464076	P40480	PF00023	363	395	Repeat
5464641	P35210	PF00023	709	741	Repeat
5466170	P35210	PF00023	742	773	Repeat
5466757	P39010	PF00023	144	174	Repeat
5467244	P50086	PF00023	71	105	Repeat
5628423	P46683	PF12796	20	124	Repeat
5686276	P53066	PF12796	12	122	Repeat
5726577	P09959	PF13606	469	498	Repeat
5730927	Q04749	PF13637	7	60	Repeat
5761055	Q04749	PF13637	75	129	Repeat
5807064	P38250	PF04547	118	600	Family
5812090	P39107	PF03452	95	358	Family
5812527	P23642	PF03452	171	480	Family
5812550	P32629	PF03452	61	323	Family
5823430	P38856	PF07651	3	271	Domain
5824880	P53309	PF07651	4	265	Domain
5826745	P33338	PF07651	7	274	Domain
5828666	P37254	PF04715	289	451	Family
5829299	P00899	PF04715	38	174	Family
5840522	P26637	PF08264	806	949	Domain
5854851	P07806	PF08264	825	976	Domain
5863412	P48526	PF08264	758	918	Domain
5864493	P09436	PF08264	693	853	Domain
5916923	Q07589	PF02558	4	178	Family
5917859	P38787	PF02558	9	173	Family
5918002	Q03088	PF08546	209	339	Family
5918789	P38787	PF08546	216	363	Family
5920710	P14905	PF08546	241	376	Family
5922690	Q07589	PF08546	207	334	Family
5934499	Q12379	PF05839	7	113	Family
5935042	P40577	PF05841	8	141	Family
5940832	P38316	PF04110	103	186	Family
5942154	Q06410	PF04108	8	404	Family
5943066	Q12380	PF04106	83	282	Family
5943458	Q02948	PF04111	317	535	Domain
5944940	Q02948	PF17675	180	314	Coiled-coil
5947032	Q12142	PF04109	295	776	Family
5952415	P40053	PF01636	143	447	Family
5999477	P50087	PF09769	59	184	Family
6004765	P40532	PF12716	38	83	Family
6005209	Q03786	PF01583	10	151	Domain
6006068	Q02196	PF01583	23	181	Domain
