	uniprot	pfam	start	stop	type	Name	ID
212492	P53199	PF01073	8	280	Family	3-beta hydroxysteroid dehydrogenase/isomerase family	3Beta_HSD
269878	P0CX36	PF16121	212	259	Family	40S ribosomal protein S4 C-terminus	40S_S4_C
270016	P0CX35	PF16121	212	259	Family	40S ribosomal protein S4 C-terminus	40S_S4_C
272314	Q3E7B7	PF04419	1	36	Family	4F5 protein family	4F5
273024	P53978	PF17947	336	411	Domain	Four helical bundle domain	4HB
273143	P16521	PF17947	336	411	Domain	Four helical bundle domain	4HB
283919	P38172	PF03061	146	221	Domain	Thioesterase superfamily	4HBT
318823	P38256	PF13279	72	204	Domain	Thioesterase-like superfamily	4HBT_2
347320	P40099	PF01812	4	203	Family	5-formyltetrahydrofolate cyclo-ligase family	5-FTHF_cyc-lig
397080	P39952	PF02096	128	318	Family	60Kd inner membrane protein	60KD_IMP
403818	Q12471	PF01591	84	324	Domain	6-phosphofructo-2-kinase	6PF2K
404355	P32604	PF01591	1	224	Domain	6-phosphofructo-2-kinase	6PF2K
404550	Q06137	PF01591	71	291	Domain	6-phosphofructo-2-kinase	6PF2K
405841	P40433	PF01591	171	396	Domain	6-phosphofructo-2-kinase	6PF2K
412862	P53319	PF00393	181	478	Domain	6-phosphogluconate dehydrogenase, C-terminal domain	6PGD
413361	P38720	PF00393	178	475	Domain	6-phosphogluconate dehydrogenase, C-terminal domain	6PGD
593811	Q07844	PF00004	570	700	Domain	ATPase family associated with various cellular activities (AAA)	AAA
601695	P53549	PF00004	218	351	Domain	ATPase family associated with various cellular activities (AAA)	AAA
602625	P33416	PF00004	139	274	Domain	ATPase family associated with various cellular activities (AAA)	AAA
607905	P32839	PF00004	263	388	Domain	ATPase family associated with various cellular activities (AAA)	AAA
609008	P38630	PF00004	349	478	Domain	ATPase family associated with various cellular activities (AAA)	AAA
612064	P32794	PF00004	282	413	Domain	ATPase family associated with various cellular activities (AAA)	AAA
617093	P38629	PF00004	49	169	Domain	ATPase family associated with various cellular activities (AAA)	AAA
617253	P40327	PF00004	219	352	Domain	ATPase family associated with various cellular activities (AAA)	AAA
625896	P18759	PF00004	560	690	Domain	ATPase family associated with various cellular activities (AAA)	AAA
627643	P28737	PF00004	129	257	Domain	ATPase family associated with various cellular activities (AAA)	AAA
637295	P33760	PF00004	768	901	Domain	ATPase family associated with various cellular activities (AAA)	AAA
648611	P33297	PF00004	218	351	Domain	ATPase family associated with various cellular activities (AAA)	AAA
650791	P40340	PF00004	450	585	Domain	ATPase family associated with various cellular activities (AAA)	AAA
652759	P18759	PF00004	277	418	Domain	ATPase family associated with various cellular activities (AAA)	AAA
655267	P39955	PF00004	641	790	Domain	ATPase family associated with various cellular activities (AAA)	AAA
655385	P54784	PF00004	475	621	Domain	ATPase family associated with various cellular activities (AAA)	AAA
655588	P39925	PF00004	324	459	Domain	ATPase family associated with various cellular activities (AAA)	AAA
659270	P40151	PF00004	173	296	Domain	ATPase family associated with various cellular activities (AAA)	AAA
660471	P40340	PF00004	772	895	Domain	ATPase family associated with various cellular activities (AAA)	AAA
665489	P31539	PF00004	208	341	Domain	ATPase family associated with various cellular activities (AAA)	AAA
666349	P52917	PF00004	169	298	Domain	ATPase family associated with various cellular activities (AAA)	AAA
677952	P33299	PF00004	246	379	Domain	ATPase family associated with various cellular activities (AAA)	AAA
681450	P33760	PF00004	479	620	Domain	ATPase family associated with various cellular activities (AAA)	AAA
683957	P40328	PF00004	507	647	Domain	ATPase family associated with various cellular activities (AAA)	AAA
685243	P40341	PF00004	384	518	Domain	ATPase family associated with various cellular activities (AAA)	AAA
690327	P36775	PF00004	628	771	Domain	ATPase family associated with various cellular activities (AAA)	AAA
690451	P40348	PF00004	61	192	Domain	ATPase family associated with various cellular activities (AAA)	AAA
691431	P49956	PF00004	179	308	Domain	ATPase family associated with various cellular activities (AAA)	AAA
692864	Q08965	PF00004	72	144	Domain	ATPase family associated with various cellular activities (AAA)	AAA
696604	P40339	PF00004	45	166	Domain	ATPase family associated with various cellular activities (AAA)	AAA
697666	P25694	PF00004	251	381	Domain	ATPase family associated with various cellular activities (AAA)	AAA
702054	Q07844	PF00004	242	377	Domain	ATPase family associated with various cellular activities (AAA)	AAA
702220	P25694	PF00004	524	657	Domain	ATPase family associated with various cellular activities (AAA)	AAA
702222	P32794	PF00004	553	683	Domain	ATPase family associated with various cellular activities (AAA)	AAA
703215	P32795	PF00004	317	447	Domain	ATPase family associated with various cellular activities (AAA)	AAA
707071	P33298	PF00004	209	342	Domain	ATPase family associated with various cellular activities (AAA)	AAA
707141	P38126	PF00004	310	467	Domain	ATPase family associated with various cellular activities (AAA)	AAA
711977	P24004	PF00004	457	597	Domain	ATPase family associated with various cellular activities (AAA)	AAA
712947	Q01939	PF00004	185	318	Domain	ATPase family associated with various cellular activities (AAA)	AAA
713195	P24004	PF00004	734	863	Domain	ATPase family associated with various cellular activities (AAA)	AAA
721890	P32644	PF13086	749	855	Domain	AAA domain	AAA_11
724082	P30771	PF13086	504	609	Domain	AAA domain	AAA_11
724179	P34243	PF13086	207	435	Domain	AAA domain	AAA_11
725838	P38859	PF13086	1051	1151	Domain	AAA domain	AAA_11
729590	Q00416	PF13086	1334	1627	Domain	AAA domain	AAA_11
731161	P38859	PF13086	1145	1222	Domain	AAA domain	AAA_11
739504	P30771	PF13086	408	518	Domain	AAA domain	AAA_11
740308	P32644	PF13086	648	776	Domain	AAA domain	AAA_11
741952	P34243	PF13087	444	651	Domain	AAA domain	AAA_12
744962	Q00416	PF13087	1634	1832	Domain	AAA domain	AAA_12
746869	P38859	PF13087	1229	1443	Domain	AAA domain	AAA_12
747082	P32644	PF13087	860	1092	Domain	AAA domain	AAA_12
748923	P30771	PF13087	616	813	Domain	AAA domain	AAA_12
791960	Q12055	PF13238	10	131	Domain	AAA domain	AAA_18
810962	P38323	PF07724	131	366	Domain	AAA domain (Cdc48 subfamily)	AAA_2
819706	P33416	PF07724	532	700	Domain	AAA domain (Cdc48 subfamily)	AAA_2
819799	P31539	PF07724	605	769	Domain	AAA domain (Cdc48 subfamily)	AAA_2
852524	P09119	PF13401	97	267	Domain	AAA domain	AAA_22
854162	P50874	PF13401	28	177	Domain	AAA domain	AAA_22
862844	Q12749	PF13476	84	355	Domain	AAA domain	AAA_23
865455	P12753	PF13476	6	255	Domain	AAA domain	AAA_23
884414	P53630	PF13500	13	218	Domain	AAA domain	AAA_26
960209	Q12019	PF07728	799	896	Domain	AAA domain (dynein-related subfamily)	AAA_5
960824	Q12019	PF07728	1440	1558	Domain	AAA domain (dynein-related subfamily)	AAA_5
961440	Q12019	PF07728	1078	1214	Domain	AAA domain (dynein-related subfamily)	AAA_5
963814	Q12019	PF07728	310	445	Domain	AAA domain (dynein-related subfamily)	AAA_5
964409	Q12019	PF07728	1742	1879	Domain	AAA domain (dynein-related subfamily)	AAA_5
965595	P43591	PF07728	26	59	Domain	AAA domain (dynein-related subfamily)	AAA_5
972651	Q12019	PF07728	648	705	Domain	AAA domain (dynein-related subfamily)	AAA_5
974282	Q12019	PF07728	2165	2276	Domain	AAA domain (dynein-related subfamily)	AAA_5
980062	Q12019	PF07728	1363	1429	Domain	AAA domain (dynein-related subfamily)	AAA_5
985567	P36022	PF12774	1758	2081	Domain	Hydrolytic ATP binding site of dynein motor region	AAA_6
993538	P36022	PF12775	2381	2562	Domain	P-loop containing dynein motor region	AAA_7
997721	P36022	PF12780	2730	2987	Domain	P-loop containing dynein motor region D4	AAA_8
1004784	P36022	PF12781	3377	3597	Domain	ATP-binding dynein motor region	AAA_9
1015424	P40151	PF16193	324	409	Family	AAA C-terminal domain	AAA_assoc_2
1018478	P36022	PF17857	2594	2690	Domain	AAA+ lid domain	AAA_lid_1
1021001	P06701	PF17872	735	833	Domain	AAA lid domain	AAA_lid_10
1021839	P54784	PF17872	637	738	Domain	AAA lid domain	AAA_lid_10
1024244	P36022	PF18198	3908	4055	Domain	Dynein heavy chain AAA lid domain	AAA_lid_11
1043603	P39925	PF17862	489	531	Domain	AAA+ lid domain	AAA_lid_3
1047421	P33297	PF17862	373	417	Domain	AAA+ lid domain	AAA_lid_3
1048510	P18759	PF17862	444	521	Domain	AAA+ lid domain	AAA_lid_3
1053018	P25694	PF17862	679	725	Domain	AAA+ lid domain	AAA_lid_3
1053907	P40327	PF17862	374	418	Domain	AAA+ lid domain	AAA_lid_3
1057735	P40340	PF17862	608	651	Domain	AAA+ lid domain	AAA_lid_3
1058196	P39955	PF17862	813	866	Domain	AAA+ lid domain	AAA_lid_3
1059184	P32794	PF17862	439	493	Domain	AAA+ lid domain	AAA_lid_3
1059764	P33299	PF17862	402	445	Domain	AAA+ lid domain	AAA_lid_3
1060147	P32794	PF17862	706	752	Domain	AAA+ lid domain	AAA_lid_3
1061387	P53549	PF17862	373	417	Domain	AAA+ lid domain	AAA_lid_3
1066277	P25694	PF17862	403	449	Domain	AAA+ lid domain	AAA_lid_3
1069582	Q01939	PF17862	340	384	Domain	AAA+ lid domain	AAA_lid_3
1070616	Q07844	PF17862	724	799	Domain	AAA+ lid domain	AAA_lid_3
1077340	P32795	PF17862	469	513	Domain	AAA+ lid domain	AAA_lid_3
1080274	P40341	PF17862	542	586	Domain	AAA+ lid domain	AAA_lid_3
1080822	P24004	PF17862	895	938	Domain	AAA+ lid domain	AAA_lid_3
1082055	P33760	PF17862	924	973	Domain	AAA+ lid domain	AAA_lid_3
1082407	P40328	PF17862	670	724	Domain	AAA+ lid domain	AAA_lid_3
1083239	Q07844	PF17862	399	444	Domain	AAA+ lid domain	AAA_lid_3
1083720	P28737	PF17862	280	329	Domain	AAA+ lid domain	AAA_lid_3
1094198	Q12019	PF17865	910	1015	Domain	Midasin AAA lid domain	AAA_lid_5
1099164	Q12019	PF17867	1226	1320	Domain	Midasin AAA lid domain	AAA_lid_7
1099585	Q12019	PF17867	1891	1991	Domain	Midasin AAA lid domain	AAA_lid_7
1100023	Q12019	PF17867	465	580	Domain	Midasin AAA lid domain	AAA_lid_7
1105000	P33416	PF17871	277	384	Domain	AAA lid domain	AAA_lid_9
1120768	P31539	PF17871	344	452	Domain	AAA lid domain	AAA_lid_9
1126241	P32357	PF05282	2	332	Family	AAR2 protein	AAR2
1127759	Q08965	PF08142	219	307	Domain	AARP2CN (NUC121) domain	AARP2CN
1128823	Q07381	PF08142	234	312	Domain	AARP2CN (NUC121) domain	AARP2CN
1132244	Q08984	PF07247	53	348	Family	Alcohol acetyltransferase	AATase
1132301	P40353	PF07247	28	522	Family	Alcohol acetyltransferase	AATase
1132340	P53296	PF07247	23	529	Family	Alcohol acetyltransferase	AATase
1133025	P53304	PF07247	4	466	Family	Alcohol acetyltransferase	AATase
1133648	Q06631	PF13339	172	300	Family	Apoptosis antagonizing transcription factor	AATF-Che1
1142438	P38690	PF00696	5	238	Family	Amino acid kinase family	AA_kinase
1153104	P10869	PF00696	13	310	Family	Amino acid kinase family	AA_kinase
1154159	P32264	PF00696	10	244	Family	Amino acid kinase family	AA_kinase
1154169	Q01217	PF00696	98	330	Family	Amino acid kinase family	AA_kinase
1175564	P32487	PF00324	114	578	Family	Amino acid permease	AA_permease
1177229	Q12372	PF00324	77	540	Family	Amino acid permease	AA_permease
1178921	P38971	PF00324	74	540	Family	Amino acid permease	AA_permease
1179220	P38085	PF00324	98	561	Family	Amino acid permease	AA_permease
1180537	P25376	PF00324	124	591	Family	Amino acid permease	AA_permease
1182327	P15380	PF00324	114	588	Family	Amino acid permease	AA_permease
1183059	P19145	PF00324	94	560	Family	Amino acid permease	AA_permease
1183340	P41815	PF00324	94	559	Family	Amino acid permease	AA_permease
1187487	P38967	PF00324	86	545	Family	Amino acid permease	AA_permease
1188361	P06775	PF00324	94	561	Family	Amino acid permease	AA_permease
1189604	P36029	PF00324	59	532	Family	Amino acid permease	AA_permease
1189646	P04817	PF00324	92	556	Family	Amino acid permease	AA_permease
1190780	P48813	PF00324	153	621	Family	Amino acid permease	AA_permease
1192983	P53388	PF00324	90	559	Family	Amino acid permease	AA_permease
1193404	P38090	PF00324	92	565	Family	Amino acid permease	AA_permease
1193870	Q08986	PF00324	81	544	Family	Amino acid permease	AA_permease
1194035	P38329	PF00324	68	544	Family	Amino acid permease	AA_permease
1195102	P43548	PF00324	57	511	Family	Amino acid permease	AA_permease
1197768	Q03770	PF00324	285	815	Family	Amino acid permease	AA_permease
1198574	P38084	PF00324	99	566	Family	Amino acid permease	AA_permease
1215954	P32837	PF13520	74	526	Family	Amino acid permease	AA_permease_2
1227082	P50276	PF13520	61	501	Family	Amino acid permease	AA_permease_2
1227442	P19807	PF13520	58	502	Family	Amino acid permease	AA_permease_2
1230561	P53744	PF13520	45	549	Family	Amino acid permease	AA_permease_2
1242395	P38734	PF13520	65	505	Family	Amino acid permease	AA_permease_2
1248642	P47082	PF01490	206	601	Family	Transmembrane amino acid transporter protein	Aa_trans
1249738	P38176	PF01490	1	446	Family	Transmembrane amino acid transporter protein	Aa_trans
1250054	P39981	PF01490	65	467	Family	Transmembrane amino acid transporter protein	Aa_trans
1252053	P40074	PF01490	1	439	Family	Transmembrane amino acid transporter protein	Aa_trans
1257514	P36062	PF01490	295	688	Family	Transmembrane amino acid transporter protein	Aa_trans
1257663	P50944	PF01490	295	711	Family	Transmembrane amino acid transporter protein	Aa_trans
1266728	P40501	PF01490	3	477	Family	Transmembrane amino acid transporter protein	Aa_trans
1274746	P38799	PF12430	308	542	Family	Abscisic acid G-protein coupled receptor	ABA_GPCR
1287961	Q02981	PF03109	221	353	Family	ABC1 family	ABC1
1296778	Q06567	PF03109	166	289	Family	ABC1 family	ABC1
1296935	P27697	PF03109	176	292	Family	ABC1 family	ABC1
1302951	Q02785	PF01061	491	705	Family	ABC-2 type transporter	ABC2_membrane
1302952	P40550	PF01061	365	575	Family	ABC-2 type transporter	ABC2_membrane
1303218	P53756	PF01061	373	581	Family	ABC-2 type transporter	ABC2_membrane
1304181	P32568	PF01061	1170	1382	Family	ABC-2 type transporter	ABC2_membrane
1308127	Q04182	PF01061	513	725	Family	ABC-2 type transporter	ABC2_membrane
1314170	P25371	PF01061	775	987	Family	ABC-2 type transporter	ABC2_membrane
1316784	Q04182	PF01061	1201	1417	Family	ABC-2 type transporter	ABC2_membrane
1320085	P33302	PF01061	1186	1403	Family	ABC-2 type transporter	ABC2_membrane
1321876	Q08234	PF01061	1019	1224	Family	ABC-2 type transporter	ABC2_membrane
1321900	Q08409	PF01061	1062	1273	Family	ABC-2 type transporter	ABC2_membrane
1323294	P40550	PF01061	1072	1283	Family	ABC-2 type transporter	ABC2_membrane
1323584	P33302	PF01061	503	715	Family	ABC-2 type transporter	ABC2_membrane
1325795	P51533	PF01061	523	735	Family	ABC-2 type transporter	ABC2_membrane
1326228	P32568	PF01061	502	710	Family	ABC-2 type transporter	ABC2_membrane
1329162	Q08234	PF01061	358	572	Family	ABC-2 type transporter	ABC2_membrane
1332220	P51533	PF01061	1240	1458	Family	ABC-2 type transporter	ABC2_membrane
1332234	P53756	PF01061	1045	1257	Family	ABC-2 type transporter	ABC2_membrane
1340507	Q08409	PF01061	369	579	Family	ABC-2 type transporter	ABC2_membrane
1347233	Q02785	PF01061	1159	1372	Family	ABC-2 type transporter	ABC2_membrane
1400449	P53049	PF00664	207	481	Family	ABC transporter transmembrane region	ABC_membrane
1401971	P39109	PF00664	287	578	Family	ABC transporter transmembrane region	ABC_membrane
1410946	P12866	PF00664	717	994	Family	ABC transporter transmembrane region	ABC_membrane
1414765	P33311	PF00664	119	401	Family	ABC transporter transmembrane region	ABC_membrane
1423536	P38735	PF00664	338	620	Family	ABC transporter transmembrane region	ABC_membrane
1423833	P39109	PF00664	951	1223	Family	ABC transporter transmembrane region	ABC_membrane
1424160	P38735	PF00664	981	1269	Family	ABC transporter transmembrane region	ABC_membrane
1445905	P32386	PF00664	461	650	Family	ABC transporter transmembrane region	ABC_membrane
1451972	P14772	PF00664	292	566	Family	ABC transporter transmembrane region	ABC_membrane
1460214	P14772	PF00664	980	1253	Family	ABC transporter transmembrane region	ABC_membrane
1461734	P33310	PF00664	103	386	Family	ABC transporter transmembrane region	ABC_membrane
1462679	P0CE68	PF00664	961	1213	Family	ABC transporter transmembrane region	ABC_membrane
1472967	P53049	PF00664	897	1166	Family	ABC transporter transmembrane region	ABC_membrane
1473782	P40416	PF00664	111	389	Family	ABC transporter transmembrane region	ABC_membrane
1476709	P0CE68	PF00664	431	609	Family	ABC transporter transmembrane region	ABC_membrane
1478214	P32386	PF00664	1026	1332	Family	ABC transporter transmembrane region	ABC_membrane
1501720	P12866	PF00664	27	306	Family	ABC transporter transmembrane region	ABC_membrane
1514323	P34230	PF06472	113	383	Family	ABC transporter transmembrane region 2	ABC_membrane_2
1514806	P41909	PF06472	194	467	Family	ABC transporter transmembrane region 2	ABC_membrane_2
1538464	P40550	PF00005	766	906	Domain	ABC transporter	ABC_tran
1539205	P53049	PF00005	1230	1395	Domain	ABC transporter	ABC_tran
1564662	P43569	PF00005	24	177	Domain	ABC transporter	ABC_tran
1572329	Q08972	PF00005	829	1061	Domain	ABC transporter	ABC_tran
1581280	P53978	PF00005	684	925	Domain	ABC transporter	ABC_tran
1586134	P32386	PF00005	712	863	Domain	ABC transporter	ABC_tran
1612586	P16521	PF00005	446	572	Domain	ABC transporter	ABC_tran
1612595	P32568	PF00005	872	1022	Domain	ABC transporter	ABC_tran
1612765	P39109	PF00005	646	781	Domain	ABC transporter	ABC_tran
1625620	Q03195	PF00005	368	496	Domain	ABC transporter	ABC_tran
1631676	P14772	PF00005	1319	1484	Domain	ABC transporter	ABC_tran
1641314	P25371	PF00005	406	558	Domain	ABC transporter	ABC_tran
1659530	P53049	PF00005	604	738	Domain	ABC transporter	ABC_tran
1663333	P51533	PF00005	196	357	Domain	ABC transporter	ABC_tran
1681601	Q08234	PF00005	710	867	Domain	ABC transporter	ABC_tran
1703379	P51533	PF00005	942	1093	Domain	ABC transporter	ABC_tran
1705822	P33311	PF00005	464	614	Domain	ABC transporter	ABC_tran
1706774	P40024	PF00005	97	255	Domain	ABC transporter	ABC_tran
1716938	P0CE69	PF00005	50	217	Domain	ABC transporter	ABC_tran
1738885	Q03195	PF00005	99	250	Domain	ABC transporter	ABC_tran
1742000	P53756	PF00005	748	898	Domain	ABC transporter	ABC_tran
1751218	P33302	PF00005	888	1039	Domain	ABC transporter	ABC_tran
1752222	P32568	PF00005	176	337	Domain	ABC transporter	ABC_tran
1753632	P12866	PF00005	1070	1218	Domain	ABC transporter	ABC_tran
1758369	P53978	PF00005	446	572	Domain	ABC transporter	ABC_tran
1765498	P53756	PF00005	46	208	Domain	ABC transporter	ABC_tran
1777694	Q12298	PF00005	33	190	Domain	ABC transporter	ABC_tran
1800842	P40416	PF00005	452	601	Domain	ABC transporter	ABC_tran
1838406	Q08409	PF00005	49	200	Domain	ABC transporter	ABC_tran
1851784	P0CE68	PF00005	669	820	Domain	ABC transporter	ABC_tran
1866425	Q08409	PF00005	766	906	Domain	ABC transporter	ABC_tran
1866809	P38735	PF00005	1340	1503	Domain	ABC transporter	ABC_tran
1882913	Q02785	PF00005	861	1012	Domain	ABC transporter	ABC_tran
1931984	P41909	PF00005	630	777	Domain	ABC transporter	ABC_tran
1953619	P33310	PF00005	450	602	Domain	ABC transporter	ABC_tran
1974087	Q02785	PF00005	164	324	Domain	ABC transporter	ABC_tran
1976926	P16521	PF00005	684	925	Domain	ABC transporter	ABC_tran
2008060	Q04182	PF00005	186	347	Domain	ABC transporter	ABC_tran
2016506	P34230	PF00005	488	680	Domain	ABC transporter	ABC_tran
2032773	Q12298	PF00005	322	486	Domain	ABC transporter	ABC_tran
2033517	P38735	PF00005	685	836	Domain	ABC transporter	ABC_tran
2049258	P40024	PF00005	411	544	Domain	ABC transporter	ABC_tran
2088173	P14772	PF00005	654	798	Domain	ABC transporter	ABC_tran
2094166	P39109	PF00005	1289	1438	Domain	ABC transporter	ABC_tran
2118477	Q08972	PF00005	587	716	Domain	ABC transporter	ABC_tran
2123894	P32386	PF00005	1398	1567	Domain	ABC transporter	ABC_tran
2157402	Q04182	PF00005	903	1054	Domain	ABC transporter	ABC_tran
2169397	P43535	PF00005	548	679	Domain	ABC transporter	ABC_tran
2178960	P43535	PF00005	215	396	Domain	ABC transporter	ABC_tran
2179994	P33302	PF00005	176	337	Domain	ABC transporter	ABC_tran
2180079	P12866	PF00005	375	534	Domain	ABC transporter	ABC_tran
2197618	P40550	PF00005	49	200	Domain	ABC transporter	ABC_tran
2198118	Q08234	PF00005	45	214	Domain	ABC transporter	ABC_tran
2209251	P33302	PF14510	45	152	Domain	ABC-transporter N-terminal	ABC_trans_N
2210151	Q04182	PF14510	47	162	Domain	ABC-transporter N-terminal	ABC_trans_N
2210471	P32568	PF14510	47	153	Domain	ABC-transporter N-terminal	ABC_trans_N
2211968	P51533	PF14510	42	162	Domain	ABC-transporter N-terminal	ABC_trans_N
2212962	Q02785	PF14510	14	137	Domain	ABC-transporter N-terminal	ABC_trans_N
2224995	P40024	PF12848	294	380	Domain	ABC transporter	ABC_tran_Xtn
2245316	P43535	PF12848	436	521	Domain	ABC transporter	ABC_tran_Xtn
2252436	Q04623	PF00561	127	291	Domain	alpha/beta hydrolase fold	Abhydrolase_1
2255782	P08465	PF00561	66	437	Domain	alpha/beta hydrolase fold	Abhydrolase_1
2258610	P38139	PF00561	87	358	Domain	alpha/beta hydrolase fold	Abhydrolase_1
2262585	P38295	PF00561	166	430	Domain	alpha/beta hydrolase fold	Abhydrolase_1
2270097	Q02891	PF00561	168	435	Domain	alpha/beta hydrolase fold	Abhydrolase_1
2277972	Q12385	PF00561	71	381	Domain	alpha/beta hydrolase fold	Abhydrolase_1
2284783	P53208	PF00561	39	309	Domain	alpha/beta hydrolase fold	Abhydrolase_1
2295407	P34163	PF00561	106	403	Domain	alpha/beta hydrolase fold	Abhydrolase_1
2298336	P53925	PF00561	348	622	Domain	alpha/beta hydrolase fold	Abhydrolase_1
2304371	P38796	PF00561	114	366	Domain	alpha/beta hydrolase fold	Abhydrolase_1
2309631	P53750	PF00561	30	276	Domain	alpha/beta hydrolase fold	Abhydrolase_1
2310719	Q03649	PF00561	151	398	Domain	alpha/beta hydrolase fold	Abhydrolase_1
2311058	P53264	PF00561	141	431	Domain	alpha/beta hydrolase fold	Abhydrolase_1
2314725	P53219	PF00561	75	326	Domain	alpha/beta hydrolase fold	Abhydrolase_1
2332443	Q12354	PF02230	1	225	Domain	Phospholipase/Carboxylesterase	Abhydrolase_2
2364612	Q04066	PF07859	32	219	Domain	alpha/beta hydrolase fold	Abhydrolase_3
2391819	Q12405	PF12697	55	336	Domain	Alpha/beta hydrolase family	Abhydrolase_6
2448193	Q07950	PF04083	150	212	Family	Partial alpha/beta-hydrolase lipase region	Abhydro_lipase
2450179	Q07804	PF04083	178	241	Family	Partial alpha/beta-hydrolase lipase region	Abhydro_lipase
2491052	Q01574	PF16177	76	137	Family	Acetyl-coenzyme A synthetase N-terminus	ACAS_N
2497600	P52910	PF16177	40	96	Family	Acetyl-coenzyme A synthetase N-terminus	ACAS_N
2500580	P38318	PF13000	17	559	Family	Acetyl-coenzyme A transporter 1	Acatn
2500963	P38317	PF13000	1	101	Family	Acetyl-coenzyme A transporter 1	Acatn
2503920	P31787	PF00887	3	83	Domain	Acyl CoA binding protein	ACBP
2512953	P32874	PF08326	837	1524	Family	Acetyl-CoA carboxylase, central region	ACC_central
2513500	Q00955	PF08326	768	1479	Family	Acetyl-CoA carboxylase, central region	ACC_central
2529752	P32316	PF02550	12	230	Domain	Acetyl-CoA hydrolase/transferase N-terminal domain	AcetylCoA_hydro
2535694	P32316	PF13336	331	482	Domain	Acetyl-CoA hydrolase/transferase C-terminal domain	AcetylCoA_hyd_C
2546954	P43577	PF00583	28	148	Family	Acetyltransferase (GNAT) family	Acetyltransf_1
2557268	P35208	PF00583	126	237	Family	Acetyltransferase (GNAT) family	Acetyltransf_1
2566192	Q06504	PF00583	17	134	Family	Acetyltransferase (GNAT) family	Acetyltransf_1
2575008	Q08689	PF00583	18	147	Family	Acetyltransferase (GNAT) family	Acetyltransf_1
2588093	Q12341	PF00583	135	264	Family	Acetyltransferase (GNAT) family	Acetyltransf_1
2592369	P07347	PF00583	39	171	Family	Acetyltransferase (GNAT) family	Acetyltransf_1
2592880	Q12447	PF00583	19	157	Family	Acetyltransferase (GNAT) family	Acetyltransf_1
2603479	Q02908	PF00583	407	546	Family	Acetyltransferase (GNAT) family	Acetyltransf_1
2605989	Q04751	PF00583	111	245	Family	Acetyltransferase (GNAT) family	Acetyltransf_1
2623583	Q03330	PF00583	120	226	Family	Acetyltransferase (GNAT) family	Acetyltransf_1
2626829	P39979	PF00583	24	149	Family	Acetyltransferase (GNAT) family	Acetyltransf_1
2649917	Q03503	PF00583	8	135	Family	Acetyltransferase (GNAT) family	Acetyltransf_1
2651423	Q06592	PF00583	22	144	Family	Acetyltransferase (GNAT) family	Acetyltransf_1
2687558	P43605	PF13880	207	270	Domain	ESCO1/2 acetyl-transferase	Acetyltransf_13
2730838	P40586	PF13302	34	174	Domain	Acetyltransferase (GNAT) domain	Acetyltransf_3
2781385	P40081	PF12689	3	176	Family	Acid Phosphatase	Acid_PPase
2789421	P19414	PF00330	63	500	Family	Aconitase family (aconitate hydratase)	Aconitase
2792485	P39533	PF00330	58	505	Family	Aconitase family (aconitate hydratase)	Aconitase
