AC	ID	Name	Type
PF10894	DUF2689	Protein of unknown function (DUF2689)	F
PF10893	DUF2724	Protein of unknown function (DUF2724)	F
PF10892	DUF2688	Protein of unknown function (DUF2688)	F
PF10891	DUF2719	Protein of unknown function (DUF2719)	F
PF10890	Cyt_b-c1_8	Cytochrome b-c1 complex subunit 8	F
PF10899	AbiGi	Putative abortive phage resistance protein AbiGi, antitoxin	F
PF10898	DUF2716	Protein of unknown function (DUF2716)	F
PF07141	Phage_term_sma	Putative bacteriophage terminase small subunit	F
PF07140	IFNGR1	Interferon gamma receptor (IFNGR1)	F
PF07143	CrtC	CrtC N-terminal lipocalin domain	D
PF07142	DUF1388	Repeat of unknown function (DUF1388)	R
PF07145	PAM2	Ataxin-2 C-terminal region	M
PF07147	PDCD9	Mitochondrial 28S ribosomal protein S30 (PDCD9)	F
PF07146	DUF1389	Protein of unknown function (DUF1389)	F
PF07149	Pes-10	Pes-10	F
PF07148	MalM	Maltose operon periplasmic protein precursor (MalM)	F
PF07460	NUMOD3	NUMOD3 motif (2 copies)	M
PF03063	Prismane	Prismane/CO dehydrogenase family	F
PF06368	Met_asp_mut_E	Methylaspartate mutase E chain (MutE)	F
PF06369	Anemone_cytotox	Sea anemone cytotoxic protein	F
PF06818	Fez1	Fez1	C
PF06819	Arc_PepC	Archaeal Peptidase A24 C-terminal Domain	D
PF06362	DUF1067	Protein of unknown function (DUF1067)	F
PF06363	Picorna_P3A	Picornaviridae P3A protein	F
PF06360	E_raikovi_mat	Euplotes raikovi mating pheromone	F
PF06361	RTBV_P12	Rice tungro bacilliform virus P12 protein	F
PF06366	FlhE	Flagellar protein FlhE	F
PF06367	Drf_FH3	Diaphanous FH3 Domain	F
PF06364	DUF1068	Protein of unknown function (DUF1068)	F
PF06365	CD34_antigen	CD34/Podocalyxin family	F
PF13188	PAS_8	PAS domain	D
PF13128	DUF3954	Protein of unknown function (DUF3954)	F
PF13129	DUF3953	Protein of unknown function (DUF3953)	F
PF16338	DUF4968	Domain of unknown function (DUF4968)	F
PF16339	DUF4969	Domain of unknown function (DUF4969)	F
PF01865	PhoU_div	Protein of unknown function DUF47	F
PF13122	DUF3977	Protein of unknown function (DUF3977)	F
PF13123	DUF3978	Protein of unknown function (DUF3978)	F
PF13120	DUF3974	Domain of unknown function (DUF3974)	F
PF13121	DUF3976	Domain of unknown function (DUF3976)	F
PF13126	DUF3975	Protein of unknown function (DUF3975)	F
PF13127	DUF3955	Protein of unknown function (DUF3955)	F
PF13124	DUF3963	Protein of unknown function (DUF3963)	F
PF13125	DUF3958	Protein of unknown function (DUF3958)	F
PF02825	WWE	WWE domain	F
PF12538	FtsK_SpoIIIE_N	DNA transporter	F
PF12539	Csm1	Chromosome segregation protein Csm1/Pcs1	F
PF12532	DUF3732	Protein of unknown function (DUF3732)	F
PF12533	Neuro_bHLH	Neuronal helix-loop-helix transcription factor	F
PF12530	DUF3730	Protein of unknown function (DUF3730)	F
PF12531	DUF3731	DNA-K related protein	F
PF12536	DUF3734	Patatin phospholipase	F
PF12537	GPHR_N	The Golgi pH Regulator (GPHR) Family N-terminal	F
PF12534	Pannexin_like	Pannexin-like TM region of LRRC8	F
PF12535	Nudix_N	Hydrolase of X-linked nucleoside diphosphate N terminal	F
PF14798	Ca_hom_mod	Calcium homeostasis modulator	F
PF14799	FAM195	FAM195 family	F
PF14794	DUF4479	Domain of unknown function (DUF4479)	F
PF14795	Leucyl-specific	Leucine-tRNA synthetase-specific domain	D
PF14796	AP3B1_C	Clathrin-adaptor complex-3 beta-1 subunit C-terminal	F
PF14797	SEEEED	Serine-rich region of AP3B1, clathrin-adaptor complex	F
PF14790	THDPS_N	Tetrahydrodipicolinate N-succinyltransferase N-terminal	D
PF14791	DNA_pol_B_thumb	DNA polymerase beta thumb	F
PF14792	DNA_pol_B_palm	DNA polymerase beta palm	D
PF14793	DUF4478	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidases	D
PF09293	RNaseH_C	T4 RNase H, C terminal	D
PF01868	UPF0086	Domain of unknown function UPF0086	F
PF13185	GAF_2	GAF domain	D
PF02249	MCR_alpha	Methyl-coenzyme M reductase alpha subunit, C-terminal domain	D
PF02248	Como_SCP	Small coat protein	D
PF18394	TBK1_CCD1	TANK-binding kinase 1 coiled-coil domain 1	C
PF08885	GSCFA	GSCFA family	D
PF08884	Flagellin_D3	Flagellin D3 domain	D
PF02247	Como_LCP	Large coat protein	D
PF02246	B1	Protein L b1 domain	D
PF08881	CVNH	CVNH domain	D
PF02240	MCR_gamma	Methyl-coenzyme M reductase gamma subunit	D
PF08883	DOPA_dioxygen	Dopa 4,5-dioxygenase family	D
PF08882	Acetone_carb_G	Acetone carboxylase gamma subunit	D
PF12598	TBX	T-box transcription factor	F
PF17512	Sh_2	Metapneumovirus Small hydrophobic protein	F
PF13725	tRNA_bind_2	Possible tRNA binding domain	F
PF00544	Pec_lyase_C	Pectate lyase	D
PF02401	LYTB	LytB protein	F
PF15110	TMEM141	TMEM141 protein family	F
PF12778	PXPV	PXPV repeat (3 copies)	R
PF18668	Tail_spike_N	Tail spike TSP1/Gp66 receptor binding N-terminal domain	D
PF18669	Trp_ring	Trimeric autotransporter adhesin Trp ring domain	D
PF12779	YXWGXW	YXWGXW repeat (2 copies)	R
PF18664	CdiA_C_tRNase	CdiA C-terminal tRNase domain	D
PF18665	TetR_C_37	Tetracyclin repressor-like, C-terminal domain	D
PF18666	CBM64	Carbohydrate-binding module 64	D
PF18667	BppU_IgG	Baseplate upper protein immunoglobulin like domain	D
PF18660	Tsi6	Tsi6	D
PF18661	AvrLm4-7	Avirulence Effector AvrLm4-7	D
PF18662	HTH_56	Cch helix turn helix domain	D
PF18663	Pallilysin	Pallilysin beta barrel domain	D
PF17319	DUF5362	Family of unknown function (DUF5362)	F
PF17318	DUF5361	Family of unknown function (DUF5361)	F
PF10471	ANAPC_CDC26	Anaphase-promoting complex APC subunit CDC26	F
PF10470	AKAP7_RIRII_bdg	PKA-RI-RII subunit binding domain of A-kinase anchor protein	D
PF10473	CENP-F_leu_zip	Leucine-rich repeats of kinetochore protein Cenp-F/LEK1	C
PF10472	CReP_N	eIF2-alpha phosphatase phosphorylation constitutive repressor	D
PF17315	FMP23	Found in mitochondrial proteome	F
PF10474	DUF2451	Protein of unknown function C-terminus (DUF2451)	F
PF10477	EIF4E-T	Nucleocytoplasmic shuttling protein for mRNA cap-binding EIF4E	F
PF10476	DUF2448	Protein of unknown function C-terminus (DUF2448)	F
PF14145	YrhK	YrhK-like protein	F
PF05874	PBAN	Pheromone biosynthesis activating neuropeptide (PBAN)	F
PF12593	McyA_C	Microcystin synthetase C terminal	F
PF11424	DUF3195	Protein of unknown function (DUF3195)	F
PF14147	Spore_YhaL	Sporulation protein YhaL	F
PF11886	TOC159_MAD	Translocase of chloroplast 159/132, membrane anchor domain	F
PF03264	Cytochrom_NNT	NapC/NirT cytochrome c family, N-terminal region	F
PF03265	DNase_II	Deoxyribonuclease II	F
PF03266	NTPase_1	NTPase	D
PF15448	NTS_2	N-terminal segments of P. falciparum erythrocyte membrane protein	D
PF03260	Lipoprotein_11	Lepidopteran low molecular weight (30 kD) lipoprotein	F
PF03261	CDK5_activator	Cyclin-dependent kinase 5 activator protein	F
PF03262	Corona_6B_7B	Coronavirus 6B/7B protein	F
PF03263	Cucumo_2B	Cucumovirus protein 2B	F
PF15443	DUF4630	Domain of unknown function (DUF4630)	F
PF15442	DUF4629	Domain of unknown function (DUF4629)	F
PF15441	ARHGEF5_35	Rho guanine nucleotide exchange factor 5/35	F
PF15440	THRAP3_BCLAF1	THRAP3/BCLAF1 family	F
PF03268	DUF267	Caenorhabditis protein of unknown function, DUF267	F
PF03269	DUF268	Caenorhabditis protein of unknown function, DUF268	F
PF15445	ATS	acidic terminal segments, variant surface antigen of PfEMP1	D
PF15444	TMEM247	Transmembrane protein 247	F
PF10783	DUF2599	Protein of unknown function (DUF2599)	F
PF17174	DUF5130	Domain of unknown function (DUF5130)	F
PF10781	DSRB	Dextransucrase DSRB	F
PF10780	MRP_L53	39S ribosomal protein L53/MRP-L53	F
PF17171	GST_C_6	Glutathione S-transferase, C-terminal domain	D
PF17170	DUF5128	6-bladed beta-propeller	D
PF17173	DUF5129	Domain of unknown function (DUF5129)	F
PF17172	GST_N_4	Glutathione S-transferase N-terminal domain	D
PF18400	Thioredoxin_12	Thioredoxin-like domain	D
PF11289	APA3_viroporin	Coronavirus accessory protein 3a	F
PF10789	Phage_RpbA	Phage RNA polymerase binding, RpbA	F
PF10788	DUF2603	Protein of unknown function (DUF2603)	F
PF17179	Fer4_22	4Fe-4S dicluster domain	D
PF17178	MASE5	Membrane-associated sensor	F
PF18406	DUF1281_C	Ferredoxin-like domain in Api92-like protein	D
PF11288	DUF3089	Protein of unknown function (DUF3089)	D
PF18329	SGBP_B_XBD	Surface glycan-binding protein B xyloglucan binding domain	D
PF02996	Prefoldin	Prefoldin subunit	C
PF18328	PfaD_N	Fatty acid synthase subunit PfaD N-terminal domain	D
PF18758	KDZ	Kyakuja-Dileera-Zisupton transposase	F
PF12777	MT	Microtubule-binding stalk of dynein motor	D
PF18759	Plavaka	Plavaka transposase	F
PF05048	NosD	Periplasmic copper-binding protein (NosD)	D
PF05049	IIGP	Interferon-inducible GTPase (IIGP)	F
PF05738	Cna_B	Cna protein B-type domain	D
PF05739	SNARE	SNARE domain	F
PF14118	YfzA	YfzA-like protein	F
PF05042	Caleosin	Caleosin related protein	F
PF05043	Mga	Mga helix-turn-helix domain	D
PF05736	OprF	OprF membrane domain	D
PF05737	Collagen_bind	Collagen binding domain	D
PF05730	CFEM	CFEM domain	D
PF05047	L51_S25_CI-B8	Mitochondrial ribosomal protein L51 / S25 / CI-B8 domain	D
PF05044	HPD	Homeo-prospero domain	D
PF05045	RgpF	Rhamnan synthesis protein F	F
PF17919	RT_RNaseH_2	RNase H-like domain found in reverse transcriptase	D
PF15940	YjcB	Family of unknown function	F
PF18585	zf-CCCH_6	Chromatin remodeling factor Mit1 C-terminal Zn finger 2	D
PF06429	Flg_bbr_C	Flagellar basal body rod FlgEFG protein C-terminal	D
PF06428	Sec2p	GDP/GTP exchange factor Sec2p	F
PF00885	DMRL_synthase	6,7-dimethyl-8-ribityllumazine synthase	D
PF13821	DUF4187	Domain of unknown function (DUF4187)	D
PF00884	Sulfatase	Sulfatase	F
PF05936	T6SS_VasE	Bacterial Type VI secretion, VC_A0110, EvfL, ImpJ, VasE	F
PF18750	SNAD4	Secreted Novel AID/APOBEC-like Deaminase 4	F
PF15221	LEP503	Lens epithelial cell protein LEP503	F
PF10500	SR-25	Nuclear RNA-splicing-associated protein	D
PF00731	AIRC	AIR carboxylase	D
PF18751	Ploopntkinase3	P-loop Nucleotide Kinase3	F
PF17856	TIP49_C	TIP49 AAA-lid domain	D
PF00886	Ribosomal_S16	Ribosomal protein S16	F
PF08549	SWI-SNF_Ssr4	Fungal domain of unknown function (DUF1750)	F
PF17857	AAA_lid_1	AAA+ lid domain	D
PF00737	PsbH	Photosystem II 10 kDa phosphoprotein	F
PF18753	Nmad2	Nucleotide modification associated domain 2	D
PF10806	SAM35	SAM35, subunit of SAM coomplex	F
PF00880	Nebulin	Nebulin repeat	R
PF11788	MRP-L46	39S mitochondrial ribosomal protein L46	F
PF00542	Ribosomal_L12	Ribosomal protein L7/L12 C-terminal domain	D
PF02562	PhoH	PhoH-like protein	D
PF17855	MCM_lid	MCM AAA-lid domain	D
PF00883	Peptidase_M17	Cytosol aminopeptidase family, catalytic domain	D
PF16605	LSM_int_assoc	LSM-interacting associated unstructured	D
PF11780	DUF3318	Protein of unknown function (DUF3318)	F
PF17852	Dynein_AAA_lid	Dynein heavy chain AAA lid domain	D
PF11782	DUF3319	Protein of unknown function (DUF3319)	F
PF11783	Cytochrome_cB	Cytochrome c bacterial	F
PF11784	DUF3320	Protein of unknown function (DUF3320)	F
PF11785	Aft1_OSA	Aft1 osmotic stress response (OSM) domain	D
PF11786	Aft1_HRA	Aft1 HRA domain	D
PF11787	Aft1_HRR	Aft1 HRR domain	D
PF13231	PMT_2	Dolichyl-phosphate-mannose-protein mannosyltransferase	F
PF10802	DUF2540	Protein of unknown function (DUF2540)	F
PF06151	Trehalose_recp	Trehalose receptor	F
PF16600	Caskin1-CID	Caskin1 CASK-interaction domain	F
PF13828	DUF4190	Domain of unknown function (DUF4190)	D
PF16601	NPF	Rabosyn-5 repeating NPF sequence-motif	D
PF05934	MCLC	Mid-1-related chloride channel (MCLC)	F
PF04278	Tic22	Tic22-like family	F
PF10502	Peptidase_S26	Signal peptidase, peptidase S26	D
PF06207	DUF1002	Protein of unknown function (DUF1002)	F
PF11432	DUF3197	Protein of unknown function (DUF3197)	F
PF11433	DUF3198	Protein of unknown function (DUF3198)	F
PF11430	EGL-1	Programmed cell death activator EGL-1	F
PF06754	PhnG	Phosphonate metabolism protein PhnG	F
PF14156	AbbA_antirepres	Antirepressor AbbA	F
PF11437	Vanabin-2	Vanadium-binding protein 2	F
PF11434	CHIPS	Chemotaxis-inhibiting protein CHIPS	F
PF14155	DUF4307	Domain of unknown function (DUF4307)	F
PF14432	DYW_deaminase	DYW family of nucleic acid deaminases	F
PF06201	PITH	PITH domain	D
PF11438	N36	36-mer N-terminal peptide of the N protein (N36)	F
PF14159	CAAD	CAAD domains of cyanobacterial aminoacyl-tRNA synthetase	D
PF12328	Rpp20	Rpp20 subunit of nuclear RNase MRP and P	F
PF17731	DUF5570	Family of unknown function (DUF5570)	F
PF06752	E_Pc_C	Enhancer of Polycomb C-terminus	F
PF18115	Tudor_3	DNA repair protein Crb2 Tudor domain	D
PF08500	Tombus_P33	Tombusvirus p33	F
PF04279	IspA	Intracellular septation protein A	F
PF06751	EutB	Ethanolamine ammonia lyase large subunit (EutB)	F
PF16949	ABC_tran_2	Putative ATP-binding cassette	F
PF13468	Glyoxalase_3	Glyoxalase-like domain	D
PF16947	Ferredoxin_N	N-terminal region of 4Fe-4S ferredoxin iron-sulfur binding	F
PF17737	Ig_C19orf38	Ig domain in C19orf38 (HIDE1)	D
PF16945	Phage_r1t_holin	Putative lactococcus lactis phage r1t holin	F
PF13464	DUF4115	Domain of unknown function (DUF4115)	D
PF13463	HTH_27	Winged helix DNA-binding domain	D
PF16942	CclA_1	Putative cyclic bacteriocin	F
PF16941	CymA	Putative cyclodextrin porin	F
PF17224	DUF5300	Domain of unknown function (DUF5300)	F
PF01639	v110	Viral family 110	F
PF01638	HxlR	HxlR-like helix-turn-helix	D
PF15893	DUF4739	Domain of unknown function (DUF4739)	F
PF17227	DUF5302	Family of unknown function (DUF5302)	F
PF16704	Rab_bind	Rab binding domain	D
PF01630	Glyco_hydro_56	Hyaluronidase	D
PF01633	Choline_kinase	Choline/ethanolamine kinase	F
PF17226	MTA_R1	MTA R1 domain	D
PF01635	Corona_M	Coronavirus M matrix/glycoprotein	F
PF01634	HisG	ATP phosphoribosyltransferase	F
PF01637	ATPase_2	ATPase domain predominantly from Archaea	D
PF01636	APH	Phosphotransferase enzyme family	F
PF08243	SPT2	SPT2 chromatin protein	D
PF08714	Fae	Formaldehyde-activating enzyme (Fae)	F
PF08241	Methyltransf_11	Methyltransferase domain	D
PF08240	ADH_N	Alcohol dehydrogenase GroES-like domain	D
PF08247	ENOD40	ENOD40 protein	F
PF08246	Inhibitor_I29	Cathepsin propeptide inhibitor domain (I29)	D
PF08713	DNA_alkylation	DNA alkylation repair enzyme	F
PF08244	Glyco_hydro_32C	Glycosyl hydrolases family 32 C terminal	D
PF16253	DUF4909	Domain of unknown function (DUF4909)	F
PF16662	FLYWCH_u	FLYWCH-type zinc finger-containing protein 1	D
PF04899	MbeD_MobD	MbeD/MobD like	F
PF08719	DUF1768	Domain of unknown function (DUF1768)	D
PF08718	GLTP	Glycolipid transfer protein (GLTP)	D
PF16700	SNCAIP_SNCA_bd	Synphilin-1 alpha-Synuclein-binding domain	D
PF05958	tRNA_U5-meth_tr	tRNA (Uracil-5-)-methyltransferase	F
PF05959	DUF884	Nucleopolyhedrovirus protein of unknown function (DUF884)	F
PF16251	NAR	Nucleic acid-binding domain (NAR)	D
PF04233	Phage_Mu_F	Phage Mu protein F like protein	F
PF05950	Orthopox_A36R	Orthopoxvirus A36R protein	F
PF05951	Peptidase_M15_2	Bacterial protein of unknown function (DUF882)	F
PF05952	ComX	Bacillus competence pheromone ComX	F
PF05953	Allatostatin	Allatostatin	R
PF05954	Phage_GPD	Phage late control gene D protein (GPD)	F
PF05955	Herpes_gp2	Equine herpesvirus glycoprotein gp2	F
PF05956	APC_basic	APC basic domain	F
PF05957	DUF883	Bacterial protein of unknown function (DUF883)	D
PF15751	FANCA_interact	FAAP20 FANCA interaction domain	F
PF04231	Endonuclease_1	Endonuclease I	F
PF18711	TxDE	Toxoflavin-degrading enzyme	D
PF16663	MAGI_u1	Unstructured region on MAGI	D
PF04236	Transp_Tc5_C	Tc5 transposase C-terminal domain	D
PF04893	Yip1	Yip1 domain	D
PF01922	SRP19	SRP19 protein	F
PF04234	CopC	CopC domain	D
PF04235	DUF418	Protein of unknown function (DUF418)	F
PF05930	Phage_AlpA	Prophage CP4-57 regulatory protein (AlpA)	F
PF07637	PSD5	Protein of unknown function (DUF1595)	F
PF15750	UBZ_FAAP20	Ubiquitin-binding zinc-finger	F
PF01424	R3H	R3H domain	D
PF00426	VP4_haemagglut	Outer Capsid protein VP4 (Hemagglutinin) Concanavalin-like domain	D
PF04145	Ctr	Ctr copper transporter family	F
PF04410	Gar1	Gar1/Naf1 RNA binding region	D
PF12415	rpo132	Poxvirus DNA dependent RNA polymerase	F
PF13145	Rotamase_2	PPIC-type PPIASE domain	D
PF04411	PDDEXK_7	PD-(D/E)XK nuclease superfamily	D
PF12414	Fox-1_C	Calcitonin gene-related peptide regulator C terminal	F
PF01420	Methylase_S	Type I restriction modification DNA specificity domain	D
PF07334	IFP_35_N	Interferon-induced 35 kDa protein (IFP 35) N-terminus	F
PF01421	Reprolysin	Reprolysin (M12B) family zinc metalloprotease	D
PF15201	Rod_cone_degen	Progressive rod-cone degeneration	F
PF15200	KRTDAP	Keratinocyte differentiation-associated	F
PF15203	TMEM95	TMEM95 family	F
PF15202	Adipogenin	Adipogenin	F
PF15205	PLAC9	Placenta-specific protein 9	F
PF15204	KKLCAg1	Kita-kyushu lung cancer antigen 1	F
PF15207	TMEM240	TMEM240 family	F
PF15206	FAM209	FAM209 family	F
PF15209	IL31	Interleukin 31	F
PF07332	Phage_holin_3_6	Putative Actinobacterial Holin-X, holin superfamily III	D
PF01423	LSM	LSM domain	D
PF17403	Nrap_D2	Nrap protein PAP/OAS-like domain	D
PF03356	Pox_LP_H2	Viral late protein H2	F
PF07333	SLR1-BP	S locus-related glycoprotein 1 binding pollen coat protein (SLR1-BP)	D
PF13146	TRL	TRL-like protein family	D
PF07777	MFMR	G-box binding protein MFMR	F
PF07774	EMC1_C	ER membrane protein complex subunit 1, C-terminal	D
PF07775	PaRep2b	PaRep2b protein	F
PF07773	DUF1619	Protein of unknown function (DUF1619)	F
PF07771	TSGP1	Tick salivary peptide group 1	F
PF03350	UPF0114	Uncharacterized protein family, UPF0114	F
PF15136	UPF0449	Uncharacterised protein family UPF0449	F
PF07331	TctB	Tripartite tricarboxylate transporter TctB family	F
PF07778	CENP-I	Mis6	F
PF07779	Cas1_AcylT	10 TM Acyl Transferase domain found in Cas1p	D
PF03824	NicO	High-affinity nickel-transport protein	F
PF01428	zf-AN1	AN1-like Zinc finger	F
PF03825	Nuc_H_symport	Nucleoside H+ symporter	F
PF01429	MBD	Methyl-CpG binding domain	D
PF15146	FANCAA	Fanconi anemia-associated	F
PF15147	DUF4578	Domain of unknown function (DUF4578)	F
PF15144	DUF4576	Domain of unknown function (DUF4576)	F
PF15145	DUF4577	Domain of unknown function (DUF4577)	F
PF15142	INCA1	INCA1	F
PF04602	Arabinose_trans	Mycobacterial cell wall arabinan synthesis protein	F
PF15140	DUF4573	Domain of unknown function (DUF4573)	F
PF15141	DUF4574	Ubiquinol-cytochrome-c reductase complex assembly factor 3	F
PF08317	Spc7	Spc7 kinetochore protein	C
PF07766	LETM1	LETM1-like protein	F
PF00423	HN	Haemagglutinin-neuraminidase	F
PF15148	Apolipo_F	Apolipoprotein F	F
PF15149	CATSPERB	Cation channel sperm-associated protein subunit beta protein family	F
