	uniprot	length
595	P0CE11	249
596	P0CE41	1502
597	P0CE68	1218
598	P0CE69	306
599	P0CE85	124
600	P0CE86	164
601	P0CE86-2	124
602	P0CE87	164
603	P0CE87-2	124
604	P0CE88	120
605	P0CE89	120
606	P0CE90	120
607	P0CE91	120
608	P0CE92	120
609	P0CE93	120
610	P0CE96	114
611	P0CE97	114
612	P0CE98	114
613	P0CE99	70
614	P0CF00	54
615	P0CF16	290
616	P0CF17	737
617	P0CF18	432
618	P0CF19	215
619	P0CF20	169
620	P0CF21	127
621	P0CF22	210
622	P0CF33	103
623	P0CF34	1048
624	P0CF35	236
625	P0CF36	145
626	P0CG63	381
627	P0CH08	128
628	P0CH09	128
629	P0CH63	225
630	P0CH64	225
631	P0CI66	198
632	P0CI67	198
633	P0CL23	45
634	P0CL24	45
635	P0CL25	75
636	P0CL26	75
637	P0CL27	191
638	P0CL28	191
639	P0CL29	191
640	P0CL30	191
641	P0CL31	191
642	P0CL32	64
643	P0CL33	64
644	P0CL34	160
645	P0CL35	160
646	P0CL36	160
647	P0CL37	159
648	P0CL38	160
649	P0CL39	160
650	P0CL40	160
651	P0CL41	160
652	P0CL42	160
653	P0CS90	654
654	P0CT04	75
655	P0CW40	589
656	P0CW41	589
657	P0CX08	502
658	P0CX09	502
659	P0CX10	437
660	P0CX11	437
661	P0CX12	379
662	P0CX13	379
663	P0CX14	1859
664	P0CX15	1859
665	P0CX16	216
666	P0CX17	216
667	P0CX18	203
668	P0CX19	203
669	P0CX20	1796
670	P0CX21	1796
671	P0CX22	1796
672	P0CX23	172
673	P0CX24	172
674	P0CX25	92
675	P0CX26	92
676	P0CX27	106
677	P0CX28	106
678	P0CX29	145
679	P0CX30	145
680	P0CX31	135
681	P0CX32	135
682	P0CX33	63
683	P0CX34	63
684	P0CX35	261
685	P0CX36	261
686	P0CX37	236
687	P0CX38	236
688	P0CX39	200
689	P0CX40	200
690	P0CX41	137
691	P0CX42	137
692	P0CX43	217
693	P0CX44	217
694	P0CX45	254
695	P0CX46	254
696	P0CX47	156
697	P0CX48	156
698	P0CX49	186
699	P0CX50	186
700	P0CX51	143
701	P0CX52	143
702	P0CX53	165
703	P0CX54	165
704	P0CX55	146
705	P0CX56	146
706	P0CX57	440
707	P0CX58	440
708	P0CX59	440
709	P0CX60	440
710	P0CX61	438
711	P0CX62	438
712	P0CX63	1770
713	P0CX64	1770
714	P0CX65	440
715	P0CX66	440
716	P0CX67	440
717	P0CX68	440
718	P0CX69	440
719	P0CX70	440
720	P0CX71	440
721	P0CX72	440
722	P0CX73	440
723	P0CX74	440
724	P0CX75	440
725	P0CX76	440
726	P0CX77	362
727	P0CX78	362
728	P0CX79	362
729	P0CX80	61
730	P0CX81	61
731	P0CX82	189
732	P0CX83	189
733	P0CX84	120
734	P0CX85	120
735	P0CX86	25
736	P0CX87	25
737	P0CX88	111
738	P0CX89	111
739	P0CX90	67
740	P0CX91	67
741	P0CX92	97
742	P0CX93	97
743	P0CX94	160
744	P0CX95	160
745	P0CX96	160
746	P0CX97	160
747	P0CX98	160
748	P0CX99	160
749	P0CY00	160
750	P0CY01	160
751	P0CY02	43
752	P0CY03	43
753	P0CY04	43
754	P0CY05	43
755	P0CY06	175
756	P0CY07	175
757	P0CY08	210
758	P0CY09	210
759	P0CY11	126
760	P0CY13	119
761	P0CZ17	362
762	P10080	294
763	P10081	395
764	P10127	382
765	P10174	60
766	P10355	254
767	P10356	443
768	P10363	409
769	P10507	462
770	P10566	314
771	P10591	642
772	P10592	639
773	P10614	530
774	P10622	106
775	P10659	382
776	P10662	321
777	P10663	115
778	P10664	362
779	P10823	449
780	P10834	293
781	P10849	440
782	P10862	487
783	P10863	254
784	P10869	527
785	P10870	884
786	P10961	833
787	P10962	306
788	P10963	549
789	P10964	1664
790	P11075	2009
791	P11076	181
792	P11154	1178
793	P11325	894
794	P11353	328
795	P11412	505
796	P11433	854
797	P11484	613
798	P11491	566
799	P11632	93
800	P11633	99
801	P11655	471
802	P11709	440
803	P11710	512
804	P11745	407
805	P11746	286
806	P11747	167
807	P11792	824
808	P11914	482
809	P11927	433
810	P11938	827
811	P11972	698
812	P11978	1358
813	P11986	533
814	P12383	1068
815	P12385	437
816	P12611	486
817	P12612	559
818	P12630	587
819	P12683	1054
820	P12684	1045
821	P12685	1235
822	P12686	339
823	P12687	371
824	P12688	680
825	P12689	985
826	P12695	482
827	P12709	554
828	P12753	1312
829	P12754	651
830	P12866	1290
831	P12868	1029
832	P12887	359
833	P12904	322
834	P12945	854
835	P12954	1174
836	P12962	161
837	P13045	520
838	P13090	542
839	P13099	656
840	P13130	326
841	P13134	814
842	P13181	574
843	P13185	1064
844	P13186	1147
845	P13188	809
846	P13259	424
847	P13298	226
848	P13365	580
849	P13382	1468
850	P13393	240
851	P13433	1351
852	P13434	144
853	P13483	248
854	P13517	287
855	P13574	688
856	P13586	950
857	P13587	1091
858	P13663	365
859	P13711	748
860	P13712	422
861	P13856	272
862	P13902	151
863	P14020	267
864	P14063	131
865	P14064	554
866	P14065	312
867	P14066	229
868	P14120	105
869	P14126	387
870	P14127	136
871	P14164	731
872	P14180	963
873	P14242	873
874	P14284	1504
875	P14291	827
876	P14306	219
877	P14359	133
878	P14540	359
879	P14680	807
880	P14681	368
881	P14682	295
882	P14693	329
883	P14724	124
884	P14736	754
885	P14737	1309
886	P14741	305
887	P14742	717
888	P14743	455
889	P14747	604
890	P14772	1559
891	P14832	162
892	P14843	370
893	P14904	514
894	P14905	389
895	P14906	663
896	P14907	823
897	P14908	341
898	P14922	966
899	P15019	335
900	P15108	705
901	P15179	658
902	P15180	591
903	P15202	515
904	P15274	810
905	P15303	768
906	P15315	225
907	P15365	543
908	P15367	167
909	P15380	627
910	P15424	664
911	P15436	1097
912	P15442	1659
913	P15454	187
914	P15496	288
915	P15565	570
916	P15565-2	554
917	P15624	595
918	P15625	503
919	P15646	327
920	P15700	204
921	P15703	313
922	P15705	589
923	P15731	148
924	P15732	148
925	P15790	372
926	P15801	1254
927	P15807	274
928	P15873	258
929	P15891	592
930	P15938	1071
931	P15992	214
932	P16120	514
933	P16140	517
934	P16151	362
935	P16370	318
936	P16387	420
937	P16451	410
938	P16467	563
939	P16474	682
940	P16521	1044
941	P16522	626
942	P16523	270
943	P16547	393
944	P16550	321
945	P16603	691
946	P16622	393
947	P16639	503
948	P16649	713
949	P16658	377
950	P16661	449
951	P16664	663
952	P16861	987
953	P16862	959
954	P16892	353
955	P16965	84
956	P17064	533
957	P17065	759
958	P17076	256
959	P17106	351
960	P17119	729
961	P17121	654
962	P17122	198
963	P17123	173
964	P17157	305
965	P17214	699
966	P17255	1071
967	P17260	313
968	P17261	260
969	P17423	357
970	P17442	1178
971	P17505	334
972	P17536	199
973	P17555	526
974	P17558	318
975	P17629	752
976	P17649	471
977	P17695	143
978	P17709	500
979	P17883	1432
980	P17890	251
981	P17891	233
982	P17898	393
983	P17967	522
984	P18238	307
985	P18239	318
986	P18408	261
987	P18409	493
988	P18410	259
989	P18411	198
990	P18412	486
991	P18414	219
992	P18480	905
993	P18494	730
994	P18496	279
995	P18544	423
996	P18562	216
997	P18634	518
998	P18759	758
999	P18851	423
1000	P18852	110
1001	P18888	332
1002	P18898	376
1003	P18899	430
1004	P18900	473
1005	P18961	677
1006	P18962	818
1007	P18963	3092
1008	P19073	191
1009	P19097	1887
1010	P19145	602
1011	P19146	181
1012	P19158	3079
1013	P19211	157
1014	P19262	463
1015	P19263	1082
1016	P19358	384
1017	P19414	778
1018	P19454	339
1019	P19516	300
1020	P19524	1574
1021	P19541	446
1022	P19657	947
1023	P19658	623
1024	P19659	1081
1025	P19735	899
1026	P19736	530
1027	P19807	563
1028	P19812	1950
1029	P19880	650
1030	P19881	312
1031	P19882	572
1032	P19955	123
1033	P19956	98
1034	P20048	519
1035	P20049	452
1036	P20050	605
1037	P20051	364
1038	P20052	293
1039	P20053	465
1040	P20081	114
1041	P20084	86
1042	P20095	876
1043	P20107	442
1044	P20133	325
1045	P20134	766
1046	P20424	541
1047	P20433	221
1048	P20434	215
1049	P20435	155
1050	P20436	146
1051	P20437	546
1052	P20438	545
1053	P20447	523
1054	P20448	770
1055	P20449	482
1056	P20457	528
1057	P20459	304
1058	P20484	468
1059	P20485	582
1060	P20486	150
1061	P20604	311
1062	P20606	190
1063	P20676	1076
1064	P20795	691
1065	P20840	650
1066	P20967	1014
1067	P21147	510
1068	P21182	396
1069	P21190	360
1070	P21192	770
1071	P21242	288
1072	P21243	252
1073	P21264	571
1074	P21268	830
1075	P21269	546
1076	P21269-2	537
1077	P21269-3	529
1078	P21304	576
1079	P21306	62
1080	P21339	1137
1081	P21372	849
1082	P21373	530
1083	P21374	235
1084	P21375	501
1085	P21524	888
1086	P21538	810
1087	P21560	335
1088	P21576	704
1089	P21592	462
1090	P21595	489
1091	P21623	536
1092	P21651	314
1093	P21657	970
1094	P21672	869
1095	P21691	654
1096	P21705	255
1097	P21734	215
1098	P21771	286
1099	P21801	266
1100	P21825	274
1101	P21826	554
1102	P21827	482
1103	P21951	2222
1104	P21954	428
1105	P21957	404
1106	P21965	375
1107	P22007	431
1108	P22023	1365
1109	P22035	811
1110	P22082	1703
1111	P22108	325
1112	P22133	377
1113	P22134	296
1114	P22135	325
1115	P22136	580
1116	P22137	1653
1117	P22138	1203
1118	P22139	70
1119	P22140	391
1120	P22141	198
1121	P22146	559
1122	P22147	1528
1123	P22148	382
1124	P22149	690
1125	P22202	642
1126	P22203	233
1127	P22204	572
1128	P22209	435
1129	P22211	790
1130	P22213	666
1131	P22214	214
1132	P22215	453
1133	P22216	821
1134	P22217	103
1135	P22219	1454
1136	P22224	910
1137	P22276	1149
1138	P22289	66
1139	P22336	621
1140	P22353	238
1141	P22354	195
1142	P22434	369
1143	P22438	575
1144	P22470	610
1145	P22515	1024
1146	P22516	861
1147	P22517	447
1148	P22543	875
1149	P22579	1536
1150	P22580	549
1151	P22696	170
1152	P22768	420
1153	P22803	104
1154	P22804	142
1155	P22855	1083
1156	P22936	367
1157	P22943	109
1158	P23059	88
1159	P23060	363
1160	P23179	398
1161	P23180	465
1162	P23201	1466
1163	P23202	354
1164	P23248	255
1165	P23250	407
1166	P23254	680
1167	P23255	1407
1168	P23285	205
1169	P23287	553
1170	P23291	538
1171	P23292	546
1172	P23293	657
1173	P23301	157
1174	P23337	708
1175	P23369	157
1176	P23394	588
1177	P23493	339
1178	P23500	304
1179	P23501	404
1180	P23503	491
1181	P23542	418
1182	P23561	717
1183	P23585	541
1184	P23594	369
1185	P23595	377
1186	P23615	1451
1187	P23624	291
1188	P23638	258
1189	P23639	250
1190	P23641	311
1191	P23642	535
1192	P23643	1011
1193	P23644	387
1194	P23724	241
1195	P23748	554
1196	P23776	448
1197	P23796	513
1198	P23797	304
1199	P23833	295
1200	P23900	669
1201	P23968	213
1202	P24000	155
1203	P24004	1043
1204	P24031	467
1205	P24276	1250
1206	P24279	971
1207	P24280	304
1208	P24309	405
1209	P24384	1145
1210	P24482	689
1211	P24521	451
1212	P24583	1151
1213	P24719	497
1214	P24720	663
1215	P24783	546
1216	P24784	617
1217	P24813	409
1218	P24814	1151
1219	P24867	279
1220	P24868	471
1221	P24869	491
1222	P24870	427
1223	P24871	460
1224	P25036	478
1225	P25037	809
1226	P25038	676
1227	P25039	761
1228	P25040	408
1229	P25042	368
1230	P25043	261
1231	P25044	335
1232	P25045	558
1233	P25046	220
1234	P25087	383
1235	P25270	412
1236	P25293	417
1237	P25294	352
1238	P25296	175
1239	P25297	587
1240	P25298	677
1241	P25299	296
1242	P25300	642
1243	P25301	460
1244	P25302	1093
1245	P25303	377
1246	P25332	333
1247	P25333	603
1248	P25334	318
1249	P25335	343
1250	P25336	1018
1251	P25337	157
1252	P25338	174
1253	P25339	888
1254	P25340	473
1255	P25341	720
1256	P25342	322
1257	P25343	265
1258	P25344	346
1259	P25345	492
1260	P25346	518
1261	P25347	104
1262	P25348	183
1263	P25349	247
1264	P25350	157
1265	P25351	611
1266	P25352	136
1267	P25353	742
1268	P25354	239
1269	P25355	563
1270	P25356	2167
1271	P25357	1226
1272	P25358	347
1273	P25359	394
1274	P25360	923
1275	P25361	127
1276	P25362	215
1277	P25364	564
1278	P25365	1065
1279	P25366	362
1280	P25367	405
1281	P25368	297
1282	P25369	354
1283	P25370	566
1284	P25371	1049
1285	P25372	127
1286	P25373	110
1287	P25374	497
1288	P25375	712
1289	P25376	633
1290	P25377	361
1291	P25378	209
1292	P25379	360
1293	P25380	463
1294	P25381	491
1295	P25382	515
1296	P25383	438
1297	P25384	1770
1298	P25385	244
1299	P25386	1790
1300	P25389	1037
1301	P25390	1331
1302	P25441	422
1303	P25443	254
1304	P25451	205
1305	P25453	334
1306	P25454	400
1307	P25491	409
1308	P25502	979
1309	P25515	160
1310	P25554	259
1311	P25555	427
1312	P25558	1636
1313	P25559	380
1314	P25560	188
1315	P25561	117
1316	P25562	171
1317	P25563	115
1318	P25565	263
1319	P25566	168
1320	P25567	434
1321	P25568	528
1322	P25569	745
1323	P25571	164
1324	P25572	119
1325	P25573	417
1326	P25574	760
1327	P25575	107
1328	P25576	258
1329	P25577	312
1330	P25578	521
1331	P25579	583
1332	P25580	416
1333	P25582	841
1334	P25583	335
1335	P25584	144
1336	P25585	152
1337	P25586	316
1338	P25587	256
1339	P25588	1096
1340	P25591	423
1341	P25593	260
1342	P25594	458
1343	P25596	615
1344	P25600	308
1345	P25601	146
1346	P25602	247
1347	P25603	130
1348	P25604	385
1349	P25605	309
1350	P25606	316
1351	P25607	182
1352	P25608	368
1353	P25610	124
1354	P25611	832
1355	P25612	363
1356	P25613	283
1357	P25614	215
1358	P25615	582
1359	P25616	317
1360	P25617	290
1361	P25618	953
1362	P25619	332
1363	P25620	114
1364	P25621	512
1365	P25623	870
1366	P25625	357
1367	P25626	169
1368	P25627	275
1369	P25628	610
1370	P25629	148
1371	P25630	102
1372	P25631	222
1373	P25632	483
1374	P25635	923
1375	P25637	258
1376	P25638	111
1377	P25639	631
1378	P25640	136
1379	P25641	520
1380	P25642	146
1381	P25644	796
1382	P25646	442
1383	P25648	1427
1384	P25649	128
1385	P25650	117
1386	P25651	190
1387	P25652	171
1388	P25653	1609
1389	P25654	182
1390	P25655	2108
1391	P25656	391
1392	P25657	155
1393	P25659	250
1394	P25693	308
1395	P25694	835
1396	P25719	182
1397	P25808	606
1398	P25846	959
1399	P25847	964
1400	P26188	188
1401	P26263	563
1402	P26309	610
1403	P26321	297
1404	P26343	269
1405	P26364	225
1406	P26370	528
1407	P26448	306
1408	P26449	341
1409	P26570	692
1410	P26637	1090
1411	P26725	428
1412	P26754	273
1413	P26755	122
1414	P26783	225
1415	P26784	199
1416	P26785	198
1417	P26786	190
1418	P26793	382
1419	P26798	304
1420	P27344	201
1421	P27351	700
1422	P27466	446
1423	P27472	705
1424	P27476	414
1425	P27514	894
1426	P27515	501
1427	P27614	576
1428	P27616	306
1429	P27636	974
1430	P27637	709
1431	P27654	210
1432	P27680	312
1433	P27692	1063
1434	P27697	501
1435	P27705	504
1436	P27796	417
1437	P27801	918
1438	P27809	442
1439	P27810	393
1440	P27825	502
1441	P27882	189
1442	P27895	1000
1443	P27929	486
1444	P27999	122
1445	P28000	142
1446	P28003	413
1447	P28004	379
1448	P28005	173
1449	P28006	793
1450	P28007	205
1451	P28239	310
1452	P28240	557
1453	P28241	369
1454	P28263	218
1455	P28272	314
1456	P28273	1286
1457	P28274	579
1458	P28319	239
1459	P28320	278
1460	P28321	313
1461	P28495	268
1462	P28496	418
1463	P28519	371
1464	P28584	889
1465	P28625	365
1466	P28626	145
1467	P28627	190
1468	P28707	216
1469	P28708	518
1470	P28737	362
1471	P28742	1111
1472	P28743	706
1473	P28777	376
1474	P28778	131
1475	P28789	327
1476	P28791	383
1477	P28795	441
1478	P28817	500
1479	P28834	360
1480	P29029	562
1481	P29055	345
1482	P29056	596
1483	P29295	494
1484	P29311	267
1485	P29340	183
1486	P29366	551
1487	P29453	256
1488	P29461	750
1489	P29465	1165
1490	P29467	408
1491	P29468	568
1492	P29469	868
1493	P29478	273
1494	P29496	775
1495	P29509	319
1496	P29539	1916
1497	P29547	415
1498	P29589	182
1499	P29703	316
1500	P29704	444
1501	P29952	429
1502	P30283	435
1503	P30402	227
1504	P30605	584
1505	P30606	609
1506	P30619	724
1507	P30620	661
1508	P30624	700
1509	P30656	287
1510	P30657	266
1511	P30665	933
1512	P30771	971
1513	P30775	413
1514	P30777	616
1515	P30822	1084
1516	P30902	174
1517	P30952	554
